parameter,pathway_id,curve_id,value,param_role,tier,source_ids,reasoning,status,update_trigger
"rotor_speed_rpm","hail_impact","none","measured_or_reconstructed_no_default","conditioner_and_bridge_input","T2_public_lab_standard_or_physics","HW-S004;HW-S005;HW-S006","Blade velocity is load-bearing.","capture_only","Calibrated state model qualifies."
"operating_state","hail_impact","none","required_future_unknown_withholds","conditioner","T3_engineering_proxy_or_adjacent_empirical","HW-S004;HW-S005;HW-S006","Operating/parked state affects kinematics and exposure.","capture_only","State-specific calibration qualifies."
"pitch_azimuth_history","hail_impact","none","required_future_unknown_withholds","conditioner_and_bridge_input","T3_engineering_proxy_or_adjacent_empirical","HW-S004;HW-S005","Angle and blade position affect contact demand.","capture_only","Qualified time-history bridge enters."
"shutdown_command_credit","hail_impact","none","disabled","conditioner_rule","T4_placeholder_or_expert_judgment","GOVERNANCE_CONTRACT","Command does not prove attained protected state or calibrated effect.","adopt","Measured attained-state response qualifies."
"leading_edge_protection_credit","hail_impact","none","disabled","selector_adjustment_rule","T4_placeholder_or_expert_judgment","HW-S003;HW-S011;GOVERNANCE_CONTRACT","No generic hail efficacy coefficient exists for unknown LEP construction/condition.","adopt","Product-specific hail tests qualify."
"blade_model_required","hail_impact","none","true_for_future_curve","selector_rule","T3_engineering_proxy_or_adjacent_empirical","HW-S003;HW-S005;HW-S013","Material/geometry response and value vary by blade.","capture_only","A reviewed family-level transfer rule qualifies."
"prior_condition_default","hail_impact","none","unknown_no_credit","selector_rule","T4_placeholder_or_expert_judgment","GOVERNANCE_CONTRACT;HW-S010","Prior coating/structural condition can change state but lacks a calibrated generic default.","adopt","Inspection-conditioned model passes."
"blade_failure_unit","hail_impact","none","WT_BLADE_ASSEMBLY","failure_unit_design","T3_engineering_proxy_or_adjacent_empirical","HW-S003;HW-S005;HW-S010;HW-S015","Primary evidence/value atom with dependency-safe repair/replacement states.","adopt","A source-backed finer denominator split is approved."
"blade_state_form","hail_impact","none","mutually_exclusive_or_nested_state_model_candidate","curve_form_candidate","T3_engineering_proxy_or_adjacent_empirical","HW-S010;HW-S014;GOVERNANCE_CONTRACT","Avoid overlapping coating repair and terminal replacement.","candidate_disabled","State probabilities and costs qualify."
"chronic_ADF_runtime_use","hail_impact","none","prohibited","endpoint_guardrail","T3_engineering_proxy_or_adjacent_empirical","HW-S006;HW-S007;HW-S009","Cumulative lifetime coating degradation is not occurrence direct physical DR.","adopt","Separate lifecycle pathway/capability is governed."
"legacy_real_estate_curve_use","hail_impact","none","prohibited","legacy_guardrail","T4_placeholder_or_expert_judgment","HW-S018","Wrong asset/citation, units, and extension.","reject","Never; replace with newly governed wind evidence."
"solar_hail_curve_fallback","hail_impact","none","prohibited","neighboring_cell_guardrail","T4_placeholder_or_expert_judgment","GOVERNANCE_CONTRACT","PV glass/cell response does not transfer to rotating composite blades.","adopt","Exact transfer evidence passes."
"turbine_exposure_grain","hail_impact","none","per_turbine_point_or_rotor","exposure_rule","T4_placeholder_or_expert_judgment","HW-S017","Sparse repeated turbine subjects require per-unit coupling.","adopt","Exact geometry representation changes."
"lease_polygon_full_exposure","hail_impact","none","prohibited","exposure_rule","T4_placeholder_or_expert_judgment","HW-S017","Lease envelope is not solid hardware.","adopt","Never without exact asset-value proof."
"BOP_unknown_exposure_default","hail_impact","none","withhold_not_one","exposure_rule","T4_placeholder_or_expert_judgment","HW-S017;GOVERNANCE_CONTRACT","Unknown point/line/yard subject cannot default fully exposed.","adopt","Site geometry is supplied."
"blade_reference_value","hail_impact","none","282_2023_USD_per_kW","value_reference","T2_public_lab_standard_or_physics","NREL_CWER_2024","Reference blade hardware row only.","reference_only","CWER or site ledger changes."
"physical_reference_value","all_shared","none","1623_2023_USD_per_kW","value_reference","T2_public_lab_standard_or_physics","NREL_CWER_2024","Reference physical denominator reconciliation.","reference_only","CWER or site ledger changes."
"installed_reference_value","all_shared","none","1968_2023_USD_per_kW","value_reference","T2_public_lab_standard_or_physics","NREL_CWER_2024","Reference installed denominator reconciliation.","reference_only","CWER or site ledger changes."
"blade_reference_physical_share","hail_impact","none","0.173752310536","value_relationship","T2_public_lab_standard_or_physics","NREL_CWER_2024","282 divided by 1623; not a loss cap.","reference_only","Reference values change."
"support_cost_rule","all_shared","none","allocate_once_after_disposition","value_rule","T4_placeholder_or_expert_judgment","HW-S014;NREL_CWER_2024;GOVERNANCE_CONTRACT","Prevent independent support DR and duplicate scaling.","adopt","Claims/site allocation rule qualifies."
"unknown_value_behavior","all_shared","none","withhold_scenario_loss","value_rule","T4_placeholder_or_expert_judgment","GOVERNANCE_CONTRACT","Reference values are not site defaults for loss.","adopt","Site values are supplied."
"failure_unit_scalar_dr","hail_impact","none","withheld_NO_RUNTIME_CURVE","capability","T4_placeholder_or_expert_judgment","GOVERNANCE_CONTRACT;BOUNDED_SEARCH_LOG","No output-bearing record.","adopt","Model v1.0 release."
"scenario_loss","hail_impact","none","withheld_NO_RUNTIME_CURVE","capability","T4_placeholder_or_expert_judgment","GOVERNANCE_CONTRACT","No DR, value, exposure, or support rule is qualified.","adopt","All named gates pass."
"scalar_eal","hail_impact","none","withheld","capability","T4_placeholder_or_expert_judgment","GOVERNANCE_CONTRACT","Cell owns no frequency/distribution and no cap preflight exists.","adopt","Downstream prerequisites and cap preflight pass."
"pml_var_tvar","hail_impact","none","withheld","capability","T4_placeholder_or_expert_judgment","GOVERNANCE_CONTRACT","No tail-supporting annual loss distribution exists.","adopt","Tail-capable downstream object exists."
