comparison_id,request_case,flood_depth_above_substation_grade_ft,substation_hazus_class,water_quality_class,delivered_depth_basis,source_assumption_set_id,model_v0_1_runtime_assembly_dr,model_v1_runtime_status,model_v1_runtime_assembly_dr,legacy_hazard_substation_bucket_curve_dr,legacy_hazard_full_tiv_contribution_at_9pct,axis_and_denominator_comparability,comparison_disposition
FW-CMP-010,source_knot_10_ft,10,ESSH,freshwater_non_contaminated,unprotected_or_internal_post_bypass_depth,FEMA_HAZUS_MH_2_1_TABLE_7_9_UNPROTECTED_SUBSTATION,,conditional,0.150000000000,0.928171498024,0.083535434822,"Same illustrative depth unit; response grain, formula, and denominator differ.","Exact upper v1 boundary; do not extend it with the legacy tail."
FW-CMP-011,above_source_range,10.1,ESSL,freshwater_non_contaminated,unprotected_or_internal_post_bypass_depth,FEMA_HAZUS_MH_2_1_TABLE_7_9_UNPROTECTED_SUBSTATION,,withheld_ABOVE_SOURCE_VALID_RANGE,,,,"V1 has no source support above 10 ft; legacy formula/denominator remain incomparable.","Withhold; do not clamp, extrapolate, or fall back to the legacy curve."
FW-CMP-012,negative_direct_depth,-0.1,ESSL,freshwater_non_contaminated,unprotected_or_internal_post_bypass_depth,FEMA_HAZUS_MH_2_1_TABLE_7_9_UNPROTECTED_SUBSTATION,,reject_AXIS_OUTSIDE_VALID_RANGE,,,,"Negative delivered depth is invalid rather than a dry-state proxy.","Reject; do not floor to zero."
FW-CMP-013,unsupported_recognized_water,5,ESSL,saltwater,unprotected_or_internal_post_bypass_depth,FEMA_HAZUS_MH_2_1_TABLE_7_9_UNPROTECTED_SUBSTATION,,withheld_WATER_QUALITY_OUTSIDE_SCREENING_DOMAIN,,0.928020984177,0.083521888576,"The legacy implementation lacks the governed water-quality gate and has a different denominator.","Withhold; never use the legacy numeric as fallback."
FW-CMP-014,unknown_water_enum,5,ESSL,seawater,unprotected_or_internal_post_bypass_depth,FEMA_HAZUS_MH_2_1_TABLE_7_9_UNPROTECTED_SUBSTATION,,reject_WATER_QUALITY_CLASS_UNKNOWN,,0.928020984177,0.083521888576,"The request enum is invalid and the old curve did not enforce this contract.","Reject and correct metadata."
FW-CMP-015,unsupported_depth_basis,5,ESSL,freshwater_non_contaminated,external_grade_depth_before_protection,FEMA_HAZUS_MH_2_1_TABLE_7_9_UNPROTECTED_SUBSTATION,,reject_DELIVERED_DEPTH_BASIS_UNSUPPORTED,,0.928020984177,0.083521888576,"External pre-protection depth is not equivalent to the delivered internal basis; legacy behavior is incomparable.","Reject; resolve protection once upstream."
FW-CMP-016,unsupported_source_class,5,UNKNOWN,freshwater_non_contaminated,unprotected_or_internal_post_bypass_depth,FEMA_HAZUS_MH_2_1_TABLE_7_9_UNPROTECTED_SUBSTATION,,reject_SUBSTATION_HAZUS_CLASS_UNSUPPORTED,,0.928020984177,0.083521888576,"The source requires an exact class while the legacy curve used no such selector.","Reject; do not default a favorable class."
FW-CMP-017,unsupported_assumption_set,5,ESSL,freshwater_non_contaminated,unprotected_or_internal_post_bypass_depth,UNACKNOWLEDGED,,reject_SOURCE_ASSUMPTION_SET_UNSUPPORTED,,0.928020984177,0.083521888576,"The v1 source assumptions are explicit; the legacy curve did not preserve them.","Reject; do not silently acknowledge the legacy FEMA atom."
FW-CMP-018,ambiguous_axis_payload,5,ESSL,freshwater_non_contaminated,unprotected_or_internal_post_bypass_depth,FEMA_HAZUS_MH_2_1_TABLE_7_9_UNPROTECTED_SUBSTATION,,reject_AXIS_PAYLOAD_AMBIGUOUS,,,,"This case additionally supplies WSE/grade bridge fields, so two payload modes conflict.","Reject; retain exactly one axis payload."
FW-CMP-019,component_failure_unit,5,ESSL,freshwater_non_contaminated,unprotected_or_internal_post_bypass_depth,FEMA_HAZUS_MH_2_1_TABLE_7_9_UNPROTECTED_SUBSTATION,,withheld_NO_RUNTIME_CURVE_FOR_PATHWAY_UNIT,,0.928020984177,0.083521888576,"The v1 curve is a mutually exclusive whole-substation atom; the legacy bucket is not a component curve.","Withhold component DR; do not decompose or copy the assembly response."
