source_id,full_citation,source_class,accessed_on,primary_url,secondary_access_url,native_axis_or_unit,direct_support,prohibited_support,evidence_role,tier,status
"COHEN_USDA_2000","Cohen, J.D. Preventing Disaster: Home Ignitability in the Wildland-Urban Interface. Journal of Forestry 98(3), 15–21 (2000).","USDA field/model/experiment synthesis","2026-07-09","https://research.fs.usda.gov/treesearch/download/4688.pdf","","incident heat flux kW/m², distance m, duration s; residential wall ignition","distance and duration matter; a severe black-body model produced 70 kW/m² at 10 m while measured maximum total heat flux was 46 kW/m²; local site state matters","universal q=C·I/d coefficient, solar DR, universal clearance credit","converter pressure test / site scale","T2_public_lab_standard_or_physics","RETAINED_WITH_RESIDENTIAL_TRANSFER_LIMIT"
"ENERGY_SAFE_VICTORIA_SOLAR","Energy Safe Victoria. General duties of solar farm owners and operators.","official solar-farm regulatory guidance","2026-07-09","https://www.energysafe.vic.gov.au/industry-guidance/electrical/installations-and-infrastructure/general-duties-solar-farm-owners-and-operators","","grass height mm, firebreak width m/surface, water/access/emergency controls","≤100 mm grass near equipment during declared Fire Danger Period; ≥10 m fuel-free noncombustible firebreak around key infrastructure/perimeter; emergency controls","damage-reduction coefficient, proof a severe wildfire stops, applicability outside jurisdiction","site-control fields / compliance anchors","T2_public_lab_standard_or_physics","RETAINED_AS_REGULATORY_CONTROL_ONLY"
"NSW_RFS_OP_1_2_22","NSW Rural Fire Service. OP 1.2.22 Photovoltaic Arrays, version accessed 2026-07-09.","official emergency-response guidance","2026-07-09","https://www.rfs.nsw.gov.au/__data/assets/pdf_file/0004/247891/OP-1.2.22-Photovoltaic-Arrays.pdf","","de-energization assurance, 8 m operational exclusion, emergency planning","large-scale solar response planning; no firefighting within 8 m of generation infrastructure or fenced area without explicit de-energization assurance","suppression success probability or physical fragility","access/de-energization conditioner","T2_public_lab_standard_or_physics","RETAINED_OPERATIONAL_ONLY"
"NREL_PV_OM_2018","Walker, H., et al. Best Practices for Operation and Maintenance of Photovoltaic and Energy Storage Systems; 3rd Edition. NREL/TP-7A40-73822 (2018).","official PV O&M guidance","2026-07-09","https://www.nrel.gov/docs/fy19osti/73822.pdf","","installation and O&M states","open-air module/combiner wiring exposure; direct-burial/conduit distinctions; roads, access, vegetation and emergency planning","wildfire fragility or numeric protection factor","asset decomposition / exposure-state design","T2_public_lab_standard_or_physics","RETAINED_QUALITATIVE"
"SYPHARD_2014","Syphard, A.D.; Brennan, T.J.; Keeley, J.E. The role of defensible space for residential structure protection during wildfires. International Journal of Wildland Fire 23, 1165–1175 (2014).","peer-reviewed primary residential field study","2026-07-09","https://doi.org/10.1071/WF13158","","residential survival, defensible-space distance m, vegetation, slope","site/immediate-surroundings sensitivity and non-universal distance response in a residential population","direct solar credit or universal width","adjacent empirical site-condition evidence","T3_engineering_proxy_or_adjacent_empirical","RETAINED_AS_TRANSFER_EVIDENCE"
"NREL_NLR_Q1_2025_PV_BENCHMARK","Basore, P.; Dummit, K.; Thomas, A.; Taylor, M.; Benoliel, P.; Feldman, D.; Narayanaswami, M.; Ramasamy, V.; Woodhouse, M.; Zuboy, J.; Braid, J.; Jost, N.; Sproul, E. Q1-2025 Solar Photovoltaic System Cost Benchmarks. NLR Data Catalog, 2025; NLR/OT-7A40-97930; last updated 2026-03-12.","official cost dataset","2026-07-09","https://doi.org/10.7799/3009689","https://data.nlr.gov/submissions/304","2024 USD per kWdc cost rows","generic utility-PV installed and replaceable-value crosswalk inputs","site appraisal, wildfire vulnerability, at-risk fraction","exposure/value basis","T2_public_lab_standard_or_physics","RETAINED_FOR_VALUE_ONLY"
"PLANNING_VICTORIA_SOLAR_GUIDE","Department of Transport and Planning Victoria. Solar Energy Facilities Design and Development Guideline, October 2022.","official solar-facility planning guidance","2026-07-09","https://www.planning.vic.gov.au/__data/assets/pdf_file/0037/659917/Solar-Energy-Facilities-Design-and-Development-Guideline.pdf","","site planning, vegetation, access, firebreak and water controls","ground-mounted solar site-control checklist and emergency-planning fields","generic loss multiplier or cross-jurisdiction requirement","site-field completeness cross-check","T2_public_lab_standard_or_physics","RETAINED_AS_GUIDANCE_ONLY"
"VALUE_SOLAR_WORKBOOK","damage_modeling/docs/method/value_basis/solar_wind_value_breakdown.xlsx; Solar_Map rows 2:17.","internal governed derivation from official cost dataset","2026-07-09","https://data.nrel.gov/submissions/304","","2024 USD/kWdc and 100 MWdc reference values","row-level installed/physical/excluded/support-cost reconciliation","site value, asset fragility, exposed share","exposure/value mapping","T2_public_lab_standard_or_physics","RETAINED_FOR_REFERENCE_ARCHETYPE"
"GOVERNANCE_CONTRACT","Damage Modeling repository governance contracts: seven-step failure-unit/value workflow, evidence gate, reportability contract, and fail-closed output policy.","internal governance/control source","2026-07-09","","","model boundary and release controls","future y-axis definition, zonal loss identity, support-cost allocation-once rule, and withholding behavior","scientific calibration, observed vulnerability, or numeric parameter value","governance / model-boundary control","T4_placeholder_or_expert_judgment","CONTROL_ONLY"
"NO_DIRECT_SOURCE_T4","Governed provenance marker: no direct calibration source supports the withdrawn proposed parameter.","provenance-gap control marker","2026-07-09","","","not applicable","records why a proposed parameter is withdrawn and cannot enter runtime","any numerical estimate, calibration, uncertainty range, or evidence of no damage","parameter-withholding control","T4_placeholder_or_expert_judgment","CONTROL_MARKER_NOT_EVIDENCE"
"NO_SOURCE_SYNTHETIC","Governed provenance marker: the input was created as an illustrative synthetic fixture and has no empirical source.","synthetic-input control marker","2026-07-09","","","not applicable","identifies an audit-only fixture and requires withdrawal from scientific/runtime use","site hazard distribution, calibration input, or uncertainty model","synthetic-fixture control","T4_placeholder_or_expert_judgment","CONTROL_MARKER_NOT_EVIDENCE"
"SOURCE_REVIEW_2026_07_09","Wildfire × solar bounded public-evidence review and reproducibility log; review date 2026-07-09.","bounded evidence-review log","2026-07-09","","","search surfaces, query families, cutoff, endpoint tests, inclusion/exclusion and results recorded in BOUNDED_EVIDENCE_SEARCH_LOG_wildfire_solar__model_v0_1__docs_r1.md","supports the scoped statement that the recorded review did not locate a paired utility-scale-solar exposure/damage/economic-loss dataset","universal claim that no such evidence exists outside the recorded search scope","negative-evidence / open-seam control","T4_placeholder_or_expert_judgment","REVIEW_LOG_ONLY"
