claim_id,claim_or_parameter,source_id,source_url,locator,evidence_role,param_role,tier,decision,permitted_use,prohibited_inference,update_trigger
"WS-C024","Module/combiner conductors are commonly exposed while direct burial, conduit and trays are distinct installation states.","NREL_PV_OM_2018","https://www.nrel.gov/docs/fy19osti/73822.pdf","§5.1, Wire Management","asset/exposure decomposition","selector_default","T2_public_lab_standard_or_physics","RETAIN_QUALITATIVE","Require exposed/buried/conduit/tray split.","Numeric wildfire survival factor","installed-condition tests"
"WS-C025","Residential defensible-space effectiveness varied by distance and site context; it is transfer evidence only.","SYPHARD_2014","https://doi.org/10.1071/WF13158","abstract/results","adjacent field evidence","conditioner_adjustment","T3_engineering_proxy_or_adjacent_empirical","RETAIN_WITH_TRANSFER_LIMIT","Motivate immediate-site fields and update triggers.","Direct solar credit or universal width","solar field calibration"
"WS-C026","Reference installed basis is 1120.000000 USD/kWdc.","VALUE_SOLAR_WORKBOOK","https://data.nrel.gov/submissions/304","Inputs!B6; Summary!B5","value basis","exposure_or_value","T2_public_lab_standard_or_physics","RETAIN_REFERENCE_ONLY","Generic reconciliation archetype.","Site appraisal or damage denominator without override","benchmark vintage/site appraisal"
"WS-C027","Reference physical replaceable basis is 877.795702 USD/kWdc.","VALUE_SOLAR_WORKBOOK","https://data.nrel.gov/submissions/304","Inputs!B7; Summary!B6","value basis","exposure_or_value","T2_public_lab_standard_or_physics","RETAIN_REFERENCE_ONLY","Generic reconciliation archetype.","Site appraisal or automatically exposed value","benchmark vintage/site appraisal"
"WS-C028","Reference excluded soft/sunk/nonphysical basis is 242.204298 USD/kWdc.","VALUE_SOLAR_WORKBOOK","https://data.nrel.gov/submissions/304","Inputs!B8; Summary!B7","value reconciliation","exposure_or_value","T2_public_lab_standard_or_physics","RETAIN_REFERENCE_ONLY","Ensure excluded value is not reintroduced.","Wildfire damaged value","benchmark vintage/site appraisal"
"WS-C029","Direct-hardware rows 2–10 total 656.981457 USD/kWdc or 65.698146M USD for 100 MWdc.","VALUE_SOLAR_WORKBOOK","https://data.nrel.gov/submissions/304","Solar_Map!2:10; VALUE_CROSSWALK summary","value reconciliation","exposure_or_value","T2_public_lab_standard_or_physics","RETAIN_REFERENCE_ONLY","Pressure-test direct-hardware denominator.","Site value or all-at-risk value","site appraisal"
"WS-C030","Rows 12–15 total 220.814245 USD/kWdc of mixed civil/replacement/support value; rows 12, 13, and 15 are support allocations with no independent DR, while row 14 must first split direct civil failure units from support/pathway costs.","VALUE_SOLAR_WORKBOOK","https://data.nrel.gov/submissions/304","Solar_Map!12:15; VALUE_CROSSWALK summary and row 14 treatment","support-cost and mixed-civil allocation","exposure_or_value","T4_placeholder_or_expert_judgment","RETAIN_FAIL_CLOSED_RULE","Allocate rows 12, 13, and 15 once after damaged units are known; split row 14 before any curve/value treatment.","Independent support-cost curve, unsplit row-14 curve, or automatic proportional loss","claims-supported allocation and civil-asset split"
"WS-C031","Current value mappings require component, exposed/buried/protected and support-cost splits before loss.","VALUE_SOLAR_WORKBOOK;DOE_FEMP_PV_WILDFIRE;NREL_PV_OM_2018","https://data.nrel.gov/submissions/304","Solar_Map rows and site guidance","scope/value crosswalk","exposure_or_value","T3_engineering_proxy_or_adjacent_empirical","RETAIN_FAIL_CLOSED_RULE","Withhold site loss until allocation is complete.","Bucket-wide exposed response","site inventory"
"WS-C032","All initial FIL low/base/high economic DR ordinates are withdrawn.","NO_DIRECT_SOURCE_T4","","Pressure test and provenance audit","failed parameter provenance","curve_fit_shape","T4_placeholder_or_expert_judgment","WITHDRAW","Audit history only.","Estimate, calibration or uncertainty band","target calibration/structured elicitation"
"WS-C033","The illustrative FLP vector 0.45/0.25/0.15/0.08/0.05/0.02 is synthetic and withdrawn.","NO_SOURCE_SYNTHETIC","","Pressure test","synthetic input","axis_bridge","T4_placeholder_or_expert_judgment","WITHDRAW","Audit history only.","Site hazard distribution","source-native site data"
"WS-C034","Legacy six logistic equations imply 5.82%–9.84% DR at I=0.","LEGACY_DIVI_WILDFIRE_SOLAR_2026","https://github.com/Divi-patel/infrasure-damage-curves/blob/12653b2c3d5a013c9524228243ea666c35bb3814/research/WILDFIRE_x_SOLAR.md","Recalculation from §11 L/k/x0 values","legacy numerical QA","curve_fit_shape","T4_placeholder_or_expert_judgment","REJECT","Reproducible rejection test.","Any curve or low-intensity loss","never; superseded legacy audit"
"WS-C035","At I=200 the legacy formulas yield 7.41%/9.21%/8.58%/8.05%/8.91%/11.49%, while the table reports 2%/1%/1%/1%/1%/4%.","LEGACY_DIVI_WILDFIRE_SOLAR_2026","https://github.com/Divi-patel/infrasure-damage-curves/blob/12653b2c3d5a013c9524228243ea666c35bb3814/research/WILDFIRE_x_SOLAR.md","§11 equation/table recomputation","legacy numerical QA","curve_fit_shape","T4_placeholder_or_expert_judgment","REJECT","Reproducible rejection test.","Any curve calibration","never; superseded legacy audit"
"WS-C036","The legacy inverse flame-length table does not match its displayed F_H = 0.0775·I^0.46 equation.","LEGACY_DIVI_WILDFIRE_SOLAR_2026","https://github.com/Divi-patel/infrasure-damage-curves/blob/12653b2c3d5a013c9524228243ea666c35bb3814/research/WILDFIRE_x_SOLAR.md","§12.1 recomputation","legacy numerical QA","axis_bridge","T4_placeholder_or_expert_judgment","REJECT","Reproducible rejection test.","Any hazard conversion","authoritative re-derivation with unit contract"
"WS-C037","Legacy component/BOM/civil weights are not audited failure-unit economic shares.","LEGACY_DIVI_WILDFIRE_SOLAR_2026;VALUE_SOLAR_WORKBOOK","https://github.com/Divi-patel/infrasure-damage-curves/blob/12653b2c3d5a013c9524228243ea666c35bb3814/research/WILDFIRE_x_SOLAR.md","Appendix A vs governed value rows","failed value mapping","exposure_or_value","T4_placeholder_or_expert_judgment","REJECT","Source-discovery comparison only.","Economic aggregation","audited BOM/replacement rule"
"WS-C038","Legacy uncertainty ranges and factor-of-two/order-of-magnitude reliability claims are unsupported.","LEGACY_DIVI_WILDFIRE_SOLAR_2026","https://github.com/Divi-patel/infrasure-damage-curves/blob/12653b2c3d5a013c9524228243ea666c35bb3814/research/WILDFIRE_x_SOLAR.md","Appendix B","failed uncertainty provenance","curve_fit_shape","T4_placeholder_or_expert_judgment","REJECT","Research-gap record only.","Probabilistic spread or coverage claim","statistical model/structured elicitation"
"WS-C039","General wildfire acreage, residential loss, utility liability and hypothetical solar events do not calibrate solar fragility.","LEGACY_DIVI_WILDFIRE_SOLAR_2026","https://github.com/Divi-patel/infrasure-damage-curves/blob/12653b2c3d5a013c9524228243ea666c35bb3814/research/WILDFIRE_x_SOLAR.md","§13","calibration rejection","curve_fit_shape","T4_placeholder_or_expert_judgment","REJECT","Context only if re-sourced for its own endpoint.","PV component/economic DR","paired target events"
"WS-C040","Within the bounded 2026-07-09 public-evidence review, no event dataset was located that pairs utility-scale solar local wildfire exposure with component inventory, inspected damage and economic replacement.","SOURCE_REVIEW_2026_07_09","","BOUNDED_EVIDENCE_SEARCH_LOG_wildfire_solar__model_v0_1__docs_r1.md — Purpose, query families, endpoint tests, and results","negative evidence / open seam","curve_fit_shape","T4_placeholder_or_expert_judgment","WITHHOLD","Define field-data program and promotion gate.","Claim of universal absence beyond searched scope","new public field/claims dataset or repeat search at next evidence review"
"WS-C041","Solid walls/barriers receive no mitigation credit without qualified geometry, wind, gaps and ember-bypass modeling.","DOE_FEMP_PV_WILDFIRE;COHEN_USDA_2000;NIST_TN_2205","https://www.energy.gov/cmei/femp/solar-photovoltaic-hardening-resilience-wildfire","site adapter rule","fail-closed site rule","conditioner_adjustment","T4_placeholder_or_expert_judgment","RETAIN_GUARDRAIL","Disable credit pending model.","Zero damage or universal effectiveness","validated transfer model"
"WS-C042","Open-metal/chain-link fencing receives no radiant-shield credit by default.","NIST_TN_2228","https://doi.org/10.6028/NIST.TN.2228","site adapter rule informed by open geometry","fail-closed site rule","conditioner_adjustment","T4_placeholder_or_expert_judgment","RETAIN_GUARDRAIL","Disable unsupported shielding credit.","Claim of measured zero flux or zero damage","qualified geometry model"
"WS-C043","Whole-site exposure and at-risk fraction never default to one.","NIST_TN_1796;VALUE_SOLAR_WORKBOOK","https://nvlpubs.nist.gov/nistpubs/TechnicalNotes/NIST.TN.1796.pdf","exposure/vulnerability separation and value rows","overestimation guardrail","exposure_or_value","T4_placeholder_or_expert_judgment","RETAIN_FAIL_CLOSED_RULE","Require zone/component values.","Assume coarse burned-pixel intersection attacks every component","approved spatial adapter"
"WS-C044","Smoke/ash production effects and PSPS are outside this physical burnover cell.","LEGACY_DIVI_WILDFIRE_SOLAR_2026;DOE_FEMP_PV_WILDFIRE","https://www.energy.gov/cmei/femp/solar-photovoltaic-hardening-resilience-wildfire","scope split","hazard pathway scope","open_seam_placeholder","T3_engineering_proxy_or_adjacent_empirical","RETAIN_SCOPE","Separate future pathway cells.","Combine revenue loss with physical DR","combined-peril architecture review"
"WS-C045","Firebrand/ember attack is recorded as a separate exposure pathway but cannot emit damage in this scaffold.","NIST_TN_1796;NIST_TN_2205;NIST_TN_2228","https://doi.org/10.6028/NIST.TN.2205","exposure definitions and fence/firebrand experiments","deferred pathway","open_seam_placeholder","T3_engineering_proxy_or_adjacent_empirical","RETAIN_DEFERRED","Capture evidence state and future interface.","Fold embers into radiant-flux curve","recipient-side ignition calibration"
"WS-C046","Future y-axis is conditional expected direct replacement-cost ratio of the same failure unit, excluding support costs and financial terms.","GOVERNANCE_CONTRACT","","cell y-axis decision","model boundary","curve_fit_shape","T4_placeholder_or_expert_judgment","RETAIN_PROPOSED","Keep denominator and grain explicit.","Whole-plant insured loss ratio or BI","reviewed runtime model"
"WS-C047","Post-fire thermal/EL imaging can reveal damage not evident visually, but it does not supply a damage ratio.","DOE_FEMP_PV_WILDFIRE","https://www.energy.gov/cmei/femp/solar-photovoltaic-hardening-resilience-wildfire","Post-Damage Techniques / Imaging","inspection trigger","open_seam_placeholder","T2_public_lab_standard_or_physics","RETAIN_QUALITATIVE","Define post-fire inspection/replacement protocol.","Population fragility or FIL calibration","forensic dataset"
"WS-C048","Component-zone loss must separate physical value, at-risk fraction, burned fraction, attack fraction given burned, and conditional severity.","NIST_TN_1796;VALUE_SOLAR_WORKBOOK;GOVERNANCE_CONTRACT","https://nvlpubs.nist.gov/nistpubs/TechnicalNotes/NIST.TN.1796.pdf","seven-step audit and value/exposure contracts","loss assembly","exposure_or_value","T4_placeholder_or_expert_judgment","RETAIN_FAIL_CLOSED_RULE","Prevent silent full-site multiplication.","Aggregate mean × aggregate exposure without independence proof","validated zonal implementation"
"WS-C049","Replacement fieldwork/logistics in rows 12, 13, and 15 are allocated once to damaged units and do not receive an independent DR; mixed civil row 14 is governed by a separate split requirement.","VALUE_SOLAR_WORKBOOK;GOVERNANCE_CONTRACT","https://data.nrel.gov/submissions/304","Solar_Map!12, Solar_Map!13, Solar_Map!15; row 14 value-crosswalk treatment","support-cost rule","exposure_or_value","T4_placeholder_or_expert_judgment","RETAIN_FAIL_CLOSED_RULE","Avoid double counting while preserving direct civil failure units after row-14 splitting.","Independent support-cost fragility or treating all row-14 value as support","claims-supported allocation and civil-asset split"
"WS-C050","The third-edition FSim RDS product is a 270 m strategic-scale product based on an end-2020 landscape and 20,000–100,000 iterations (potential annual weather scenarios) depending on pyrome.","USFS_FSIM_RDS_2023","https://www.fs.usda.gov/rds/archive/products/RDS-2016-0034-3/_metadata_RDS-2016-0034-3.html","RDS abstract, methods, process step 10, and spatial-reference metadata","hazard product scope","axis_bridge","T2_public_lab_standard_or_physics","RETAIN_WITH_SCOPE_LIMIT","Define product scale, vintage and simulation context.","Component-scale exposure or current-site vegetation state","FSim product/version change"
"WS-C051","FSim 1/3/5-hour active periods are daily simulation fire-growth windows, not solar-equipment exposure durations.","USFS_FSIM_RDS_2023;FINNEY_2011_FSIM","https://www.fs.usda.gov/rds/archive/products/RDS-2016-0034-3/_metadata_RDS-2016-0034-3.html","RDS methods/simulation-duration description and FSim model context","time-axis boundary","axis_bridge","T2_public_lab_standard_or_physics","RETAIN_GUARDRAIL","Prevent substitution for measured/modelled component heat-dose duration.","Equipment thermal duration or fire-residence time","validated event/local exposure bridge"
