claim_id,claim_text,claim_type,source_ids,exact_locator,evidence_tier,parameter_or_rule,adoption_status,permitted_inference,prohibited_inference,reasoning,update_trigger
"WTW2-C011","Observed convective events support blade and tower failure but do not cleanly calibrate modern multi-MW fragility.","direct_observation","SLC-S001;SLC-S013","Buffalo Ridge and SPC event records","T1_claims_or_field_calibrated","straight-line state ordering","adopt_with_limits","Allow rotor-damage and terminal-turbine states in a screening ensemble.","Fit a population curve directly to the cases.","Events lack clean turbine-level wind, configuration, and repair denominators.","Matched modern event dataset."
"WTW2-C012","Convective load multipliers of 2-10 times are demand evidence and never damage-ratio multipliers.","source_interpretation","SLC-S003;SLC-S004","Lu Fig.21; Zhang results","T2_public_lab_standard_or_physics","load-to-DR guardrail","adopt","Use to justify distinct pathway physics.","Multiply DR or value by reported load ratios.","Capacity and repair consequences are nonlinear and absent.","Capacity-linked fragility study."
"WTW2-C013","Grid loss, pitch and yaw availability are conditioners, not direct physical damage or value exposure.","governance_decision","SLC-S002;SLC-S008;ADJ-S001","NREL state discussion; Rose load cases","T2_public_lab_standard_or_physics","conditioner taxonomy","adopt","Carry state in the request and metadata.","Emit DR from grid loss alone or scale value twice.","They alter demand/control state without being destruction.","Evidence of a separate direct electrical-failure pathway."
"WTW2-C014","A tornado wind field contains tangential, radial and vertical components that vary across the rotor and with tornado position.","source_interpretation","TOR-S009;TOR-S010;TOR-S011","AbuGazia model; Lopez experiment","T2_public_lab_standard_or_physics","tornado pathway physics","adopt","Require a tornado-effective turbine demand or qualified proxy.","Represent tornado by an ordinary straight-wind D50 shift.","Direct numerical/experimental evidence shows three-dimensional and positional effects.","Validated simpler sufficient demand index."
"WTW2-C015","Tornado horizontal-speed profiles are nose shaped, with a median peak near 50 m in the reviewed 36-profile sample.","direct_observation","TOR-S001","NIST results","T2_public_lab_standard_or_physics","tornado height bridge","adopt","Require height/profile provenance and recognize rotor-span variation.","Apply an ordinary ABL power law or claim every peak is 50 m.","NIST radar-profile review directly supports the profile distinction and variability.","New ASCE profile revision or larger sample."
"WTW2-C016","An EF rating is a damage-based estimated 3-second gust and not a turbine-local measured intensity.","direct_observation","TOR-S002","NWS EF important note","T2_public_lab_standard_or_physics","EF proxy rule","adopt","Reject EF-only runtime inputs; require a documented wind-field/proxy ensemble.","Use EF midpoint or uniform band as a measured hub gust.","NWS explicitly states estimates vary with height/exposure.","Final wind-speed-estimation standard supplies a governed conversion."
"WTW2-C017","At Jacksboro four commercial turbines had shredded blades while their tapered steel towers remained intact; typical resistance was estimated near 51 m/s.","direct_observation","TOR-S006","§3.6, Figs.16-17, Table 7","T1_claims_or_field_calibrated","tornado rotor-damage central anchor","adopt_with_limits","Set the central rotor-replacement transition near 51 m/s for screening.","Claim exact rotor wind, probability, modern-fleet transfer, or repair cost.","Nearby damage supported the field estimate; configuration/denominator remain incomplete.","Final turbine DI or additional matched turbine cases."
"WTW2-C018","Greenfield turbine outcomes show a terminal-collapse transition between about 65 and 69 m/s for the affected turbines.","direct_observation","TOR-S003","BAMS pp.776-777","T1_claims_or_field_calibrated","tornado terminal central anchor","adopt_with_limits","Set central terminal-state median near 67 m/s and retain broad resistance scenarios.","Universal turbine capacity, exact hub speed, or fitted beta from unreported counts.","All below 65 survived, all at/above 69 toppled, mixed between; research is ongoing.","Complete peer-reviewed Greenfield turbine/radar dataset."
"WTW2-C019","Greenfield tower collapse was governed by local inelastic buckling near geometric discontinuities in the reviewed forensic/FEA study.","direct_observation","TOR-S005","Abstract and conclusions","T2_public_lab_standard_or_physics","terminal-state mechanism","adopt","Treat tower collapse as terminal turbine-equipment state with archetype limits.","Infer a universal fragility curve or foundation loss.","Forensic observations and FEA agree on local buckling mechanism.","Additional forensic cases or alternate turbine designs."
"WTW2-C020","The proposed commercial-turbine DOD thresholds are an engineering prior, not a finalized standard or field-calibrated fragility.","source_interpretation","TOR-S007;TOR-S008","Bouchard Table 3; Marshall standards-development paper","T3_engineering_proxy_or_adjacent_empirical","tornado lower-resistance scenario","adopt_with_limits","Use 32/45/58-like lower-resistance bounds and state ordering.","Call them final EF/ASCE requirements or statistical medians.","The source is explicit standards-development/screening work.","Final ASCE/SEI/AMS standard."
"WTW2-C021","Tornado debris and pressure are distinct unresolved mechanisms in the speed-only screening proxy.","source_interpretation","TOR-S011;TOR-S012","Baker framework; FEMA/NIST guide","T2_public_lab_standard_or_physics","tornado limitation flag","adopt","Carry TORNADO_DEBRIS_PRESSURE_NOT_SEPARATELY_MODELED.","Apply an unsupported debris multiplier or claim wind-only causation.","Evidence establishes separate loading without turbine calibration.","Turbine-specific debris/pressure tests."
"WTW2-C022","The primary numeric failure unit is one repeated turbine-equipment assembly because component failures are dependent and tower collapse is terminal.","governance_decision","TOR-S003;TOR-S005;VAL-S001;GOVERNANCE_CONTRACT","Decision D-WTW2-05","T3_engineering_proxy_or_adjacent_empirical","failure_unit_id WT_TURBINE_EQUIPMENT_ASSEMBLY","adopt","Use mutually exclusive ordered states and apply exposure per turbine.","Independently sum blade, tower, nacelle and foundation logistics.","Assembly precedence prevents consequential double counting.","Claims/repair evidence supports separable conditional component records."
"WTW2-C023","The turbine-equipment curve denominator is 1,090 USD/kW in 2023 USD.","direct_observation","VAL-S001","Wind_Map rows 2-9; CWER appendix","T2_public_lab_standard_or_physics","value denominator","adopt","Apply assembly DR only to rotor/pitch/nacelle/electrical/yaw/tower direct hardware.","Apply to foundation, support, full physical base, installed TIV or insured value.","Rows 2-9 reconcile to the CWER turbine module, subject to 1 USD/kW rounding.","New CWER vintage or site appraisal."
"WTW2-C024","The reference installed, physical, and excluded bases are 1,968, 1,623, and 345 USD/kW.","direct_observation","VAL-S001","Inputs!B9:B11 and Wind_Map","T2_public_lab_standard_or_physics","reference value basis","adopt","Publish denominator conversions and reconciliation.","Treat physical and installed denominators as interchangeable.","Workbook formula audit reconciles the reference rows.","New value vintage or boundary decision."
"WTW2-C025","The turbine-equipment share is 0.671595810228 of physical base and 0.553861788618 of installed capex.","engineering_inference","VAL-S001","1090/1623 and 1090/1968","T2_public_lab_standard_or_physics","reference shares","adopt","Use only as explicit reference convenience after exposure.","Call either share an intrinsic curve cap or implicit full-TIV multiplier.","Ratios are exact arithmetic on named denominators.","Value basis changes."
"WTW2-C026","Foundation, civil, and external electrical rows totaling 239 USD/kW remain outside the turbine-equipment curve and require distinct exposure/failure treatment.","governance_decision","VAL-S001;SLC-S014;HAZARD_CONSUMER_AUDIT","Wind_Map rows 10-12","T4_placeholder_or_expert_judgment","withheld value coverage","withhold","Retain row-complete reconciliation and separate future units.","Scale them by turbine DR or one tornado swept fraction.","They have different asset grains and no matched fragility.","Unit-specific evidence and exposure models."
"WTW2-C027","Replacement fieldwork and transport/logistics totaling 294 USD/kW are support costs allocated once after damaged units are known.","governance_decision","VAL-S001;GOVERNANCE_CONTRACT","Wind_Map rows 13-14","T4_placeholder_or_expert_judgment","support allocation rule","adopt","Apply a claims/site rule once outside intrinsic DR.","Give support rows independent fragility or scale them twice.","CWER reports recurring costs but no hazard-specific allocation function.","Claims-backed support allocation."
"WTW2-C028","The 345 USD/kW engineering/development, management, finance, contingency and warranty rows are excluded from physical destruction by default.","source_interpretation","VAL-S001","Wind_Map rows 15-19","T2_public_lab_standard_or_physics","excluded value rows","adopt","Reconcile installed to physical and keep rows outside DR.","Reintroduce through damage state or support scaling.","They are classified sunk/soft/nonphysical in the governed value ledger.","Explicit insured-value boundary overrides."
"WTW2-C029","Damage-state cost ratios are consequences on the 1,090 USD/kW turbine-equipment denominator, not failure probabilities.","governance_decision","VAL-S001;GOVERNANCE_CONTRACT","Value crosswalk and curve form","T4_placeholder_or_expert_judgment","damage state r_j","adopt","Use pitch 13/1090, rotor 337/1090 and total 1090/1090 as transparent screening consequences.","Claim exact repair scopes, include support, or interpret as weights in component logistics.","Public component values make the arithmetic auditable but do not provide claims calibration.","Claims/repair disposition data."
"WTW2-C030","The common log-dispersion and resistance scenarios are Tier-4 curve-shape judgments constrained by observed brackets.","engineering_inference","TOR-S003;TOR-S006;TOR-S007;SLC-S003","Parameter tier table","T4_placeholder_or_expert_judgment","beta_ln and capacity_scenarios","adopt","Produce monotone screening envelopes and KATs.","Report statistical confidence, aleatory-only uncertainty, or fitted likelihood.","Counts/covariates are insufficient for statistical fitting.","Population data or structured elicitation."
"WTW2-C031","Capacity scenarios have no probabilities or weights.","governance_decision","GOVERNANCE_CONTRACT","Contract standard 22 §4","T4_placeholder_or_expert_judgment","scenario interpretation","adopt","Emit named nonprobabilistic lower/central/upper resistance results.","Average scenarios as an expected DR without a selected rule.","No evidence supports scenario weights.","Structured elicitation or calibrated epistemic distribution."
"WTW2-C032","The ordered-state evaluator must use exact-state probabilities that sum to one and nondecreasing state costs.","governance_decision","GOVERNANCE_CONTRACT","Contract standard 22 §4","T2_public_lab_standard_or_physics","evaluation equation","adopt","Prevent negative probabilities and dependency double counting.","Sum exceedance probabilities directly as independent losses.","This is the standard ordered-fragility construction.","New governed curve form."
"WTW2-C033","Missing, unknown, or mismatched pathway identity withholds evaluation.","governance_decision","GOVERNANCE_CONTRACT","KAT routing cases","T4_placeholder_or_expert_judgment","fail-closed routing","adopt","Return PATHWAY_ID_REQUIRED/UNKNOWN/MISMATCH.","Default to straight line or infer tornado from EF.","Prevents the old silent-routing failure.","No update absent schema revision."
"WTW2-C034","Frequency, track/footprint, exposed turbine count, spatial dependence and event-family overlap belong to Hazard.","governance_decision","SLC-S014;HAZARD_CONSUMER_AUDIT;GOVERNANCE_CONTRACT","Hazard handoff and scope","T2_public_lab_standard_or_physics","ownership boundary","adopt","Damage emits conditional per-turbine severity only.","Embed tornado strike probability, derecho footprint, or annual rate in curve.","Separates vulnerability from occurrence/exposure.","Platform architecture decision changes."
"WTW2-C035","Substation points, collection lines, civil areas and turbine points require separate exposure kernels.","engineering_inference","VAL-S001;HAZARD_CONSUMER_AUDIT","Consumer seam audit","T3_engineering_proxy_or_adjacent_empirical","exposure grain rule","adopt","Apply each unit's value only to its own intersection object.","Apply one exposed_turbine_fraction or swept fraction to full TIV.","Geometry and denominator grains are incompatible.","A validated aggregate equivalence proof."
"WTW2-C036","The existing v1.0 artifact and Hazard hardcoded curves are legacy comparison objects, not calibration targets.","governance_decision","LEG-S001;LEG-S002","Legacy numerical audit","T4_placeholder_or_expert_judgment","legacy disposition","adopt","Reproduce and compare without tuning v2 to preserve outputs.","Use legacy D50/k/weights as evidence or preserve old EAL/PML headlines.","They use different axes, values and exposure/frequency seams.","None; archive on promotion."
"WTW2-C037","Current v1.0 remains canonical until v2 scientific, schema, KAT, workbook and Hazard migration gates pass.","governance_decision","GOVERNANCE_CONTRACT","Change classification and promotion matrix","T4_placeholder_or_expert_judgment","promotion rule","adopt","Keep v2 absent from artifact index/current changelog.","Implicitly promote by creating proposed files.","Protects current consumers during incompatible research.","Explicit promotion decision."
"WTW2-C038","Before promotion, EAL, PML, VaR and TVaR are withheld because the artifact is noncanonical; after promotion they remain consumer-owned.","governance_decision","GOVERNANCE_CONTRACT","Capability v3 and standard 21","T4_placeholder_or_expert_judgment","annual metric capability","adopt","Allow future frequency-driven annual metrics only after Hazard prerequisites and limitation flags.","Compute annual metrics in Damage Modeling or derive a tail from one mean DR.","Separates proposal status from the valid consumer-tail boundary.","Promotion plus passing consumer integration."
"WTW2-C039","The nonprobabilistic resistance envelope carries epistemic sensitivity but does not by itself represent full vulnerability uncertainty.","governance_decision","GOVERNANCE_CONTRACT","Capability v3","T4_placeholder_or_expert_judgment","uncertainty capability","adopt","Label NONPROBABILISTIC_EPISTEMIC_ENVELOPE and unresolved conditioners.","Call it a probabilistic distribution or omit unmodeled uncertainty.","Scenario construction has no weights and incomplete covariates.","Calibrated probabilistic fragility."
"WTW2-C040","No hurricane/tropical-cyclone numerical curve is delivered in this proposal.","governance_decision","ADJ-S001;ADJ-S002","Hurricane boundary memo","T3_engineering_proxy_or_adjacent_empirical","neighboring cell capability","adopt","Reject tropical-cyclone events and open a separate workstream.","Reuse either pathway for hurricane wind.","Duration, veer, turbulence, grid-loss and possible wave loading differ.","Separate tropical-cyclone cell review."
