parameter,pathway_id,curve_id,value,param_role,tier,source_ids,reasoning,status,update_trigger
"WTW2-P011 | Straight-line central medians","straight_line_convective","WTW2_SLC_TURBINE_EQUIPMENT_ORDERED_STATES","[0.90, 1.05, 1.30] on gust/Ve50 axis","curve_fit_shape","T4_placeholder_or_expert_judgment","SLC-S003;SLC-S005;SLC-S009","Central screening judgment constrained by design/load evidence; not a fitted median.","ACTIVE_CENTRAL_SCREENING","Structured elicitation or fitted capacity data"
"WTW2-P012 | Straight-line upper-resistance medians","straight_line_convective","WTW2_SLC_TURBINE_EQUIPMENT_ORDERED_STATES","[1.05, 1.20, 1.45] on gust/Ve50 axis","curve_fit_shape","T4_placeholder_or_expert_judgment","SLC-S003;SLC-S005;SLC-S009","Lower-damage engineering bound; no probability weight.","ACTIVE_NONPROBABILISTIC_BOUND","Structured elicitation or fitted capacity data"
"WTW2-P013 | Tornado preferred axis","tornado_direct_hit","WTW2_TOR_TURBINE_EQUIPMENT_ORDERED_STATES","tornado_rotor_effective_peak_horizontal_speed_mps","axis_bridge","T3_engineering_proxy_or_adjacent_empirical","TOR-S001;TOR-S009;TOR-S010","A rotor-effective local peak preserves first-order rotor-scale loading while remaining a screening speed proxy.","ACTIVE_SCREENING_AXIS","Validated multi-component tornado turbine demand index"
"WTW2-P014 | Tornado hub-height proxy","tornado_direct_hit","WTW2_TOR_TURBINE_EQUIPMENT_ORDERED_STATES","tornado_hub_height_peak_3s_gust_mps with qualified basis and named profile bridge","axis_bridge","T4_placeholder_or_expert_judgment","TOR-S001;TOR-S002;TOR-S009","Hub speed is accepted only with explicit provenance because tornado profiles are height- and position-dependent.","ACTIVE_FLAGGED_PROXY","Rotor-resolved tornado hazard delivery"
"WTW2-P015 | EF-only tornado input","tornado_direct_hit","WTW2_TOR_TURBINE_EQUIPMENT_ORDERED_STATES","prohibited","axis_bridge","T2_public_lab_standard_or_physics","TOR-S002","EF wind is damage-estimated context with height/exposure uncertainty, not a turbine-local measurement.","FAIL_CLOSED","Governed turbine-local wind proxy derived from final standard"
"WTW2-P016 | Tornado profile bridge","tornado_direct_hit","WTW2_TOR_TURBINE_EQUIPMENT_ORDERED_STATES","tornado_input_basis plus nonempty tornado_profile_bridge_id required","axis_bridge","T2_public_lab_standard_or_physics","TOR-S001;TOR-S002;TOR-S009","The evaluator must know how reference-height/radar/hub information became the delivered turbine speed.","REQUIRED_PROVENANCE","A promoted hazard product has a version-pinned native rotor-effective field"
"WTW2-P017 | Tornado beta_ln","tornado_direct_hit","WTW2_TOR_TURBINE_EQUIPMENT_ORDERED_STATES","0.08","curve_fit_shape","T4_placeholder_or_expert_judgment","TOR-S003;TOR-S006;TOR-S007","Engineering smoothing judgment around sparse field/standards anchors; not a fitted population dispersion.","ACTIVE_NONPROBABILISTIC_SCENARIO_PARAMETER","Matched turbine-level outcomes support fitting"
"WTW2-P018 | Tornado hard zero boundary","tornado_direct_hit","WTW2_TOR_TURBINE_EQUIPMENT_ORDERED_STATES","speed < 25 m/s gives DS0 probability 1","boundary_or_cap","T4_placeholder_or_expert_judgment","TOR-S007;TOR-S008","Avoids a nonzero numerical tail below the proposed screening damage-state region; not a universal no-damage threshold.","ACTIVE_SCREENING_BOUNDARY","Observed low-speed tornado turbine repair data"
"WTW2-P019 | Tornado lower-resistance medians","tornado_direct_hit","WTW2_TOR_TURBINE_EQUIPMENT_ORDERED_STATES","[32, 45, 58] m/s","curve_fit_shape","T4_placeholder_or_expert_judgment","TOR-S007;TOR-S008","Higher-damage bound informed by proposed wind-turbine DOD resistance values; no probability weight.","ACTIVE_NONPROBABILISTIC_BOUND","Finalized standard or fitted field outcomes"
"WTW2-P020 | Tornado central medians","tornado_direct_hit","WTW2_TOR_TURBINE_EQUIPMENT_ORDERED_STATES","[36, 51, 67] m/s","curve_fit_shape","T4_placeholder_or_expert_judgment","TOR-S003;TOR-S006;TOR-S007","Jacksboro anchors rotor damage near 51 m/s and Greenfield brackets terminal collapse near 65-69 m/s; neither is a population fit.","ACTIVE_CENTRAL_SCREENING","Expanded matched turbine event dataset"
"WTW2-P021 | Tornado upper-resistance medians","tornado_direct_hit","WTW2_TOR_TURBINE_EQUIPMENT_ORDERED_STATES","[40, 56, 80] m/s","curve_fit_shape","T4_placeholder_or_expert_judgment","TOR-S003;TOR-S006","Lower-damage bound reflects speed, height, archetype, and sparse-sample uncertainty; no probability weight.","ACTIVE_NONPROBABILISTIC_BOUND","Expanded matched turbine event dataset"
"WTW2-P022 | Tornado terminal-saturation extrapolation flag","tornado_direct_hit","WTW2_TOR_TURBINE_EQUIPMENT_ORDERED_STATES","speed > 80 m/s through 100 m/s remains numeric but flagged","boundary_or_cap","T4_placeholder_or_expert_judgment","TOR-S003;TOR-S006;TOR-S007","The upper axis is retained only to show terminal saturation and cannot be described as field-calibrated.","ACTIVE_FLAGGED_EXTRAPOLATION","Field evidence at extreme turbine-local speeds"
"WTW2-P023 | Damage-state consequence ratios","all_shared","SHARED_STATE_CONSEQUENCE","[0, 13/1090, 337/1090, 1] on turbine-equipment denominator","exposure_or_value","T4_placeholder_or_expert_judgment","VAL-S001","The value rows are source-backed but their mapping to ordered repair states is an engineering proxy.","ACTIVE_SCREENING_CONSEQUENCE","Claims-supported repair-scope/value mapping"
"WTW2-P024 | Primary direct denominator","all_shared","VALUE_LINKAGE","1090 2023 USD/kW turbine equipment","exposure_or_value","T2_public_lab_standard_or_physics","VAL-S001","Rows for rotor/pitch/nacelle/power/yaw/tower reconcile to one repeated turbine-equipment assembly.","REFERENCE_BASIS_NO_IMPLICIT_PROFILE","Cost benchmark vintage or site value schedule changes"
"WTW2-P025 | Physical and installed reference denominators","all_shared","VALUE_LINKAGE","1623 and 1968 2023 USD/kW; conversion ratio 0.824695121951220","exposure_or_value","T2_public_lab_standard_or_physics","VAL-S001","Published denominator conversion prevents turbine-equipment DR from being applied silently to full TIV.","REFERENCE_ONLY","Cost benchmark vintage or site appraisal changes"
"WTW2-P026 | Foundation/external electrical/civil curves","all_shared","PATHWAY_UNIT_COVERAGE","withheld for both pathways","open_seam_placeholder","T4_placeholder_or_expert_judgment","VAL-S001;BOUNDED_REVIEW","No unit-specific calibration and no valid shared turbine exposure rule were located.","NO_RUNTIME_CURVE_FOR_PATHWAY_UNIT","Unit-specific evidence and exposure/value splits pass review"
"WTW2-P027 | Replacement fieldwork and logistics","all_shared","VALUE_LINKAGE","294 2023 USD/kW allocated once after damaged units are known; no intrinsic DR","exposure_or_value","T4_placeholder_or_expert_judgment","VAL-S001","Support cost is consequential and must not be damaged independently or counted inside and outside the assembly denominator.","ALLOCATE_ONCE_OUTSIDE_CURVE","Claims-supported allocation rule"
"WTW2-P028 | Operational/control/transient conditioners","all_shared","PATHWAY_CONDITIONER_CONTRACT","missing fields become explicit unknown flags and preserve all resistance scenarios","conditioner_adjustment","T4_placeholder_or_expert_judgment","SLC-S002;SLC-S003;SLC-S008;TOR-S009;TOR-S010","The reviewed evidence establishes causal importance but not portable numeric modifiers.","CAPTURE_ONLY_NO_NUMERIC_EFFECT","Validated conditioner-specific capacity calibration"
"WTW2-P029 | Scenario weights","all_shared","SCENARIO_ENVELOPE_CONTRACT","none; averaging prohibited","curve_fit_shape","T4_placeholder_or_expert_judgment","BOUNDED_REVIEW","Lower/central/upper resistance curves are an epistemic engineering envelope, not percentiles or a distribution.","REPORT_SEPARATELY","Structured elicitation or statistical calibration supplies documented weights"
"WTW2-P030 | Financial scaling in reference evaluator","all_shared","INTRINSIC_EMIT_CONTRACT","none","exposure_or_value","T4_placeholder_or_expert_judgment","GOVERNANCE_CONTRACT;VAL-S001","Damage Modeling emits intrinsic failure-unit severity; exposure, value, support allocation, frequency, caps, and annual metrics remain downstream.","PROHIBITED_IN_INTRINSIC_EVALUATOR","Separate governed consumer loss adapter passes value/exposure/cap tests"
