value_source_id,source_location,row_or_bucket_id,row_or_bucket_label,value,unit,financial_class,failure_unit_id,role_in_loss,include_in_direct_denominator,allocation_rule,double_count_guardrail,status,notes
"NLR_Q1_2025_UPV_PV_ONLY_2024_USD","docs/method/value_basis/solar_wind_value_breakdown.xlsx::Solar_Map!12","SOLAR_VALUE_012_SBOS_LABOR","Mounting field labor","43.273972602739725","2024_USD_per_kWdc","replacement_support_cost","PV_REPLACEMENT_SUPPORT","support_once","false","Allocate once after direct module/structure state and terminal cascade using a qualified reinstatement rule.","No intrinsic DR and no duplication inside both failure-unit denominators.","mapped_support_rule_open","Not all greenfield labor necessarily recurs."
"NLR_Q1_2025_UPV_PV_ONLY_2024_USD","docs/method/value_basis/solar_wind_value_breakdown.xlsx::Solar_Map!13","SOLAR_VALUE_013_EBOS_LABOR","Electrical field labor","39.447761194029844","2024_USD_per_kWdc","replacement_support_cost","PV_REPLACEMENT_SUPPORT","support_once","false","Allocate only when separately supported electrical work occurs.","Do not scale by array DR by default.","mapped_support_rule_open","No independent curve."
"NLR_Q1_2025_UPV_PV_ONLY_2024_USD","docs/method/value_basis/solar_wind_value_breakdown.xlsx::Solar_Map!14","SOLAR_VALUE_014_CIVIL","Grading, fencing, roads and buildings","31.223744292237445","2024_USD_per_kWdc","mixed_civil_replacement_bucket","PV_CIVIL_INFRA","withheld","false","Split line, area and point assets before exposure/damage.","Do not reuse array zone exposure or structure DR.","withheld","Mixed civil bucket."
"NLR_Q1_2025_UPV_PV_ONLY_2024_USD","docs/method/value_basis/solar_wind_value_breakdown.xlsx::Solar_Map!15","SOLAR_VALUE_015_GENERAL_SUPPORT","Site management, equipment rental and inspection","106.86876712328767","2024_USD_per_kWdc","replacement_support_cost","PV_REPLACEMENT_SUPPORT","support_once","false","Allocate once at claim/repair scope; site rule required.","Do not multiply independently by module and structure DR.","mapped_support_rule_open","No independent curve."
"NLR_Q1_2025_UPV_PV_ONLY_2024_USD","docs/method/value_basis/solar_wind_value_breakdown.xlsx::Solar_Map!16-17","SOLAR_VALUE_016_017_EXCLUDED","Officework and other soft/nonphysical value","242.20429763733296","2024_USD_per_kWdc","excluded_soft_sunk_nonphysical","OUTSIDE_PHYSICAL_CELL","excluded","false","Exclude from physical denominator unless an explicit insured-value contract says otherwise.","Never turn installed-TIV share into an intrinsic DR cap.","excluded","Installed 1120 minus physical 877.7957023626668."
"NLR_Q1_2025_UPV_PV_ONLY_2024_USD","docs/method/value_basis/solar_wind_value_breakdown.xlsx::Solar_Map summary","SOLAR_VALUE_SUMMARY_DIRECT","Direct hardware subtotal","656.9814571503722","2024_USD_per_kWdc","reconciliation","ALL_DIRECT_FAILURE_UNITS","reference_only","false","Reconcile rows 2–10; never pool under one curve.","Array-only output covers module and mounting rows, not this subtotal.","reconciled","Reference only."
"NLR_Q1_2025_UPV_PV_ONLY_2024_USD","docs/method/value_basis/solar_wind_value_breakdown.xlsx::Solar_Map summary","SOLAR_VALUE_SUMMARY_PHYSICAL","Physical replaceable reference basis","877.7957023626668","2024_USD_per_kWdc","reconciliation","ALL_PHYSICAL_FAILURE_UNITS_AND_SUPPORT","reference_only","false","Physical reference equals direct hardware plus replacement/civil/support rows.","Withheld rows are unknown, not zero; do not report array DR as full-physical DR.","reconciled","Installed equals physical plus 242.20429763733296."
"NLR_Q1_2025_UPV_PV_ONLY_2024_USD","docs/method/value_basis/solar_wind_value_breakdown.xlsx::Solar_Map summary","SOLAR_VALUE_SUMMARY_INSTALLED","Installed CAPEX reference basis","1120.0","2024_USD_per_kWdc","installed_reference","OUTSIDE_INTRINSIC_CURVE","reference_only","false","Reporting conversion only with explicit numerator label.","Not an intrinsic curve denominator or cap.","reconciled","Array module+mounting reference is 0.35821837273868046 of installed."
"NREL_Q1_2024_MMP_TRACKER_2023_USD","DOE PV cost benchmark Figure 1","TRACKER_SENS_MODULE","One-axis-tracker module MMP","336.0","2023_USD_per_kWdc","sensitivity_direct_hardware","PV_TRACKER_MODULE_FIELD","sensitivity_only","false","Use only as a source-native tracker sensitivity with the same vintage profile.","Never blend with 2024 USD primary rows.","sensitivity_only","Tracker benchmark."
"NREL_Q1_2024_MMP_TRACKER_2023_USD","DOE PV cost benchmark Figure 1","TRACKER_SENS_SBOS","One-axis-tracker structural BOS MMP","140.0","2023_USD_per_kWdc","sensitivity_direct_hardware","PV_TRACKER_SBOS_ASSEMBLY","boundary_mismatched_sensitivity_only","false","The source combines tracker/racking/pile/foundation content; do not use 140 as the above-ground SBOS curve denominator unless foundation content is reconciled by a governed BOM.","Do not split torque tube, drive, racking, piles and foundation beyond source support or compare its loss directly to the foundation-excluding primary record.","sensitivity_boundary_mismatch","Tracker benchmark; useful only for whole-SBOS sensitivity until the boundary is reconciled."
"NREL_Q1_2024_MMP_TRACKER_2023_USD","DOE PV cost benchmark Figure 1","TRACKER_SENS_INSTALLED","One-axis-tracker installed MMP","1119.0","2023_USD_per_kWdc","installed_reference","OUTSIDE_INTRINSIC_CURVE","sensitivity_only","false","Reconcile 336+33+140+186+229+62+133.","Not a DR denominator.","sensitivity_only","Fieldwork 229 must remain separate from direct hardware."
"NREL_Q1_2021_COST_BENCHMARK","NREL Q1-2021 benchmark PDF p. 27","FIXED_TILT_STRUCTURE_RANGE","Structural components, fixed tilt or one-axis tracker","90.0-120.0","2020_USD_per_kWdc","screening_value_range","PV_FIXED_TILT_SUPPORT_STRUCTURE","reference_range_only","false","Require explicit site value; use range only for sensitivity.","Do not assign a point value or assume the endpoints separately identify fixed tilt and tracker.","withheld_as_default","Older and architecture-combined range."
