parameter,pathway_id,curve_id,value,param_role,tier,source_ids,reasoning,status,update_trigger
ordinate_percent_conversion,tropical_cyclone_wind,TCWS_PERRY_GROUND_FIXED_VISIBLE_REPLACEMENT_PROXY_V1,damage_ratio=pct_modules_damaged/100,ordinate_bridge,T1_claims_or_field_calibrated,TCWS-S020;TCWS-S021,Exact unit conversion from percent to fraction.,adopt,Source units change.
uniform_module_value,tropical_cyclone_wind,TCWS_PERRY_GROUND_FIXED_VISIBLE_REPLACEMENT_PROXY_V1,required_true,value_bridge,T4_placeholder_or_expert_judgment,GOVERNANCE_CONTRACT,Makes module-count or equal-area fraction align with module-hardware value fraction.,adopt_with_limits,Observed module value distribution replaces assumption.
full_replacement_if_visible,tropical_cyclone_wind,TCWS_PERRY_GROUND_FIXED_VISIBLE_REPLACEMENT_PROXY_V1,required_true,disposition_bridge,T4_placeholder_or_expert_judgment,GOVERNANCE_CONTRACT,Maps visible or missing module physical fraction to material replacement proxy.,adopt_with_limits,Inspected repair-versus-replace data replaces assumption.
extra_exposure_fraction,tropical_cyclone_wind,TCWS_PERRY_GROUND_FIXED_VISIBLE_REPLACEMENT_PROXY_V1,prohibited,exposure_modifier,T3_engineering_proxy_or_adjacent_empirical,TCWS-S020;TCWS-S021,The site response already measures realized affected fraction.,adopt,Response grain changes.
Perry_compatibility_curve_intrinsic_spread,tropical_cyclone_wind,TCWS_PERRY_GROUND_FIXED_VISIBLE_REPLACEMENT_PROXY_V1,not_carried,uncertainty,T4_placeholder_or_expert_judgment,GOVERNANCE_CONTRACT,Cluster-aware uncertainty is not identified by the sparse event sample.,withhold,Validated hierarchical uncertainty model.
tail_audit_point,tropical_cyclone_wind,TCWS_PERRY_GROUND_FIXED_VISIBLE_REPLACEMENT_PROXY_V1,48.2 m/s|0.4142383192 DR|n=1,audit_only,T1_claims_or_field_calibrated,TCWS-S020,Retains the severe observation without granting runtime interpolation.,withhold_runtime,Tail cohort grows.
Perry_compatibility_model_grade,tropical_cyclone_wind,TCWS_PERRY_GROUND_FIXED_VISIBLE_REPLACEMENT_PROXY_V1,screening_remote_sensing_labeled_visible_fraction_with_T4_economic_bridge,release_state,T4_placeholder_or_expert_judgment,TCWS-S020;GOVERNANCE_CONTRACT,Separates remote-sensing-labeled visible physical severity from assumed economic disposition.,adopt,Evidence chain improves.
TCWS2-P000 | package curve-record count,tropical_cyclone_wind,CELL_CONTRACT,5,capability,T4_placeholder_or_expert_judgment,TCWS2_CELL_LOCAL_SYNTHETIC_DECISION;GOVERNANCE_CONTRACT,One preserved Perry record plus four cell-local generic synthetic records.,adopt_synthetic_T4,Formal elicitation or matched TC field/claims calibration replaces this value.
TCWS2-P001 | audit comparison profile,tropical_cyclone_wind,CELL_CONTRACT,SHARED_SOLAR_WIND_NORMALIZED_RESPONSE_SYNTHETIC_T4_V0_1,provenance_pin,T4_placeholder_or_expert_judgment,SHARED_SOLAR_WIND_PROXY_V0_1;TCWS2_CELL_LOCAL_SYNTHETIC_DECISION,Audit-only byte-value comparison after cell-local adoption; never a runtime parameter source.,adopt_synthetic_T4,Formal elicitation or matched TC field/claims calibration replaces this value.
TCWS2-P000B | generic synthetic record count,tropical_cyclone_wind,CELL_CONTRACT,4,capability,T4_placeholder_or_expert_judgment,TCWS2_CELL_LOCAL_SYNTHETIC_DECISION;GOVERNANCE_CONTRACT,Two fixed-tilt and two tracker records; all are cell-local Tier-4 scenarios.,adopt_synthetic_T4,Formal elicitation or matched TC field/claims calibration replaces this value.
TCWS2-P002 | generic demand range,tropical_cyclone_wind,CELL_AXIS_CONTRACT,0.0 to 2.0,boundary_or_cap,T4_placeholder_or_expert_judgment,TCWS2_CELL_LOCAL_SYNTHETIC_DECISION;NO_DIRECT_TC_CALIBRATION_SOURCE,"The entire [0,2] interval is a bounded synthetic research domain with no internal evidence-anchored high-range threshold; values above 2 are withheld.",adopt_synthetic_T4,Formal elicitation or matched TC field/claims calibration replaces this value.
TCWS2-P003 | hard-zero treatment,tropical_cyclone_wind,ALL_GENERIC_RECORDS,none above zero; exact x=0 only,curve_fit_shape,T4_placeholder_or_expert_judgment,GOVERNANCE_CONTRACT;TCWS2_CELL_LOCAL_SYNTHETIC_DECISION,Avoid an invented immunity band and avoid intercept subtraction that changes parameter meaning.,adopt_synthetic_T4,Formal elicitation or matched TC field/claims calibration replaces this value.
TCWS2-P004 | scenario loss,tropical_cyclone_wind,CELL_EMIT_CONTRACT,withheld,value_linkage,T4_placeholder_or_expert_judgment,GOVERNANCE_CONTRACT;NO_DIRECT_TC_CALIBRATION_SOURCE,Synthetic state costs do not authorize reportable dollars or whole-plant DR.,withhold,Formal elicitation or matched TC field/claims calibration replaces this value.
TCWS2_FIXED_MODULE_SYNTHETIC_T4_ORDERED_STATES | beta_ln,tropical_cyclone_wind,TCWS2_FIXED_MODULE_SYNTHETIC_T4_ORDERED_STATES,0.3,curve_fit_shape,T4_placeholder_or_expert_judgment,TCWS2_CELL_LOCAL_SYNTHETIC_DECISION;NO_DIRECT_TC_CALIBRATION_SOURCE,Synthetic log-space transition width; not fitted dispersion.,adopt_synthetic_T4,Formal elicitation or matched TC field/claims calibration replaces this value.
TCWS2_FIXED_MODULE_SYNTHETIC_T4_ORDERED_STATES | MODULE_DS0_NO_DIRECT_DAMAGE cost_ratio,tropical_cyclone_wind,TCWS2_FIXED_MODULE_SYNTHETIC_T4_ORDERED_STATES,0.0,state_cost_ratio,T4_placeholder_or_expert_judgment,TCWS2_CELL_LOCAL_SYNTHETIC_DECISION;NO_DIRECT_TC_CALIBRATION_SOURCE,Explicit synthetic same-unit consequence ratio keeps probability and DR typed separately.,adopt_synthetic_T4,Formal elicitation or matched TC field/claims calibration replaces this value.
TCWS2_FIXED_MODULE_SYNTHETIC_T4_ORDERED_STATES | MODULE_DS1_LOCALIZED_REPLACEMENT cost_ratio,tropical_cyclone_wind,TCWS2_FIXED_MODULE_SYNTHETIC_T4_ORDERED_STATES,0.1,state_cost_ratio,T4_placeholder_or_expert_judgment,TCWS2_CELL_LOCAL_SYNTHETIC_DECISION;NO_DIRECT_TC_CALIBRATION_SOURCE,Explicit synthetic same-unit consequence ratio keeps probability and DR typed separately.,adopt_synthetic_T4,Formal elicitation or matched TC field/claims calibration replaces this value.
TCWS2_FIXED_MODULE_SYNTHETIC_T4_ORDERED_STATES | MODULE_DS2_FIELD_REPLACEMENT cost_ratio,tropical_cyclone_wind,TCWS2_FIXED_MODULE_SYNTHETIC_T4_ORDERED_STATES,1.0,state_cost_ratio,T4_placeholder_or_expert_judgment,TCWS2_CELL_LOCAL_SYNTHETIC_DECISION;NO_DIRECT_TC_CALIBRATION_SOURCE,Explicit synthetic same-unit consequence ratio keeps probability and DR typed separately.,adopt_synthetic_T4,Formal elicitation or matched TC field/claims calibration replaces this value.
TCWS2_FIXED_MODULE_SYNTHETIC_T4_ORDERED_STATES | lower_resistance medians,tropical_cyclone_wind,TCWS2_FIXED_MODULE_SYNTHETIC_T4_ORDERED_STATES,"[0.65, 1.2]",curve_fit_shape,T4_placeholder_or_expert_judgment,TCWS2_CELL_LOCAL_SYNTHETIC_DECISION;NO_DIRECT_TC_CALIBRATION_SOURCE,Unweighted synthetic resistance scenario; not a percentile or fitted hurricane parameter.,adopt_synthetic_T4,Formal elicitation or matched TC field/claims calibration replaces this value.
TCWS2_FIXED_MODULE_SYNTHETIC_T4_ORDERED_STATES | central_screening medians,tropical_cyclone_wind,TCWS2_FIXED_MODULE_SYNTHETIC_T4_ORDERED_STATES,"[0.85, 1.55]",curve_fit_shape,T4_placeholder_or_expert_judgment,TCWS2_CELL_LOCAL_SYNTHETIC_DECISION;NO_DIRECT_TC_CALIBRATION_SOURCE,Unweighted synthetic resistance scenario; not a percentile or fitted hurricane parameter.,adopt_synthetic_T4,Formal elicitation or matched TC field/claims calibration replaces this value.
TCWS2_FIXED_MODULE_SYNTHETIC_T4_ORDERED_STATES | upper_resistance medians,tropical_cyclone_wind,TCWS2_FIXED_MODULE_SYNTHETIC_T4_ORDERED_STATES,"[1.05, 1.95]",curve_fit_shape,T4_placeholder_or_expert_judgment,TCWS2_CELL_LOCAL_SYNTHETIC_DECISION;NO_DIRECT_TC_CALIBRATION_SOURCE,Unweighted synthetic resistance scenario; not a percentile or fitted hurricane parameter.,adopt_synthetic_T4,Formal elicitation or matched TC field/claims calibration replaces this value.
TCWS2_FIXED_STRUCTURE_SYNTHETIC_T4_ORDERED_STATES | beta_ln,tropical_cyclone_wind,TCWS2_FIXED_STRUCTURE_SYNTHETIC_T4_ORDERED_STATES,0.3,curve_fit_shape,T4_placeholder_or_expert_judgment,TCWS2_CELL_LOCAL_SYNTHETIC_DECISION;NO_DIRECT_TC_CALIBRATION_SOURCE,Synthetic log-space transition width; not fitted dispersion.,adopt_synthetic_T4,Formal elicitation or matched TC field/claims calibration replaces this value.
TCWS2_FIXED_STRUCTURE_SYNTHETIC_T4_ORDERED_STATES | STRUCT_DS0_NO_DIRECT_DAMAGE cost_ratio,tropical_cyclone_wind,TCWS2_FIXED_STRUCTURE_SYNTHETIC_T4_ORDERED_STATES,0.0,state_cost_ratio,T4_placeholder_or_expert_judgment,TCWS2_CELL_LOCAL_SYNTHETIC_DECISION;NO_DIRECT_TC_CALIBRATION_SOURCE,Explicit synthetic same-unit consequence ratio keeps probability and DR typed separately.,adopt_synthetic_T4,Formal elicitation or matched TC field/claims calibration replaces this value.
TCWS2_FIXED_STRUCTURE_SYNTHETIC_T4_ORDERED_STATES | STRUCT_DS1_LOCALIZED_REPAIR cost_ratio,tropical_cyclone_wind,TCWS2_FIXED_STRUCTURE_SYNTHETIC_T4_ORDERED_STATES,0.15,state_cost_ratio,T4_placeholder_or_expert_judgment,TCWS2_CELL_LOCAL_SYNTHETIC_DECISION;NO_DIRECT_TC_CALIBRATION_SOURCE,Explicit synthetic same-unit consequence ratio keeps probability and DR typed separately.,adopt_synthetic_T4,Formal elicitation or matched TC field/claims calibration replaces this value.
TCWS2_FIXED_STRUCTURE_SYNTHETIC_T4_ORDERED_STATES | STRUCT_DS2_FULL_UNIT_REPLACEMENT cost_ratio,tropical_cyclone_wind,TCWS2_FIXED_STRUCTURE_SYNTHETIC_T4_ORDERED_STATES,1.0,state_cost_ratio,T4_placeholder_or_expert_judgment,TCWS2_CELL_LOCAL_SYNTHETIC_DECISION;NO_DIRECT_TC_CALIBRATION_SOURCE,Explicit synthetic same-unit consequence ratio keeps probability and DR typed separately.,adopt_synthetic_T4,Formal elicitation or matched TC field/claims calibration replaces this value.
TCWS2_FIXED_STRUCTURE_SYNTHETIC_T4_ORDERED_STATES | STRUCT_DS3_TERMINAL_UNIT_FAILURE cost_ratio,tropical_cyclone_wind,TCWS2_FIXED_STRUCTURE_SYNTHETIC_T4_ORDERED_STATES,1.0,state_cost_ratio,T4_placeholder_or_expert_judgment,TCWS2_CELL_LOCAL_SYNTHETIC_DECISION;NO_DIRECT_TC_CALIBRATION_SOURCE,Explicit synthetic same-unit consequence ratio keeps probability and DR typed separately.,adopt_synthetic_T4,Formal elicitation or matched TC field/claims calibration replaces this value.
TCWS2_FIXED_STRUCTURE_SYNTHETIC_T4_ORDERED_STATES | lower_resistance medians,tropical_cyclone_wind,TCWS2_FIXED_STRUCTURE_SYNTHETIC_T4_ORDERED_STATES,"[0.9, 1.2, 1.5]",curve_fit_shape,T4_placeholder_or_expert_judgment,TCWS2_CELL_LOCAL_SYNTHETIC_DECISION;NO_DIRECT_TC_CALIBRATION_SOURCE,Unweighted synthetic resistance scenario; not a percentile or fitted hurricane parameter.,adopt_synthetic_T4,Formal elicitation or matched TC field/claims calibration replaces this value.
TCWS2_FIXED_STRUCTURE_SYNTHETIC_T4_ORDERED_STATES | central_screening medians,tropical_cyclone_wind,TCWS2_FIXED_STRUCTURE_SYNTHETIC_T4_ORDERED_STATES,"[1.15, 1.55, 1.9]",curve_fit_shape,T4_placeholder_or_expert_judgment,TCWS2_CELL_LOCAL_SYNTHETIC_DECISION;NO_DIRECT_TC_CALIBRATION_SOURCE,Unweighted synthetic resistance scenario; not a percentile or fitted hurricane parameter.,adopt_synthetic_T4,Formal elicitation or matched TC field/claims calibration replaces this value.
TCWS2_FIXED_STRUCTURE_SYNTHETIC_T4_ORDERED_STATES | upper_resistance medians,tropical_cyclone_wind,TCWS2_FIXED_STRUCTURE_SYNTHETIC_T4_ORDERED_STATES,"[1.45, 1.95, 2.35]",curve_fit_shape,T4_placeholder_or_expert_judgment,TCWS2_CELL_LOCAL_SYNTHETIC_DECISION;NO_DIRECT_TC_CALIBRATION_SOURCE,Unweighted synthetic resistance scenario; not a percentile or fitted hurricane parameter.,adopt_synthetic_T4,Formal elicitation or matched TC field/claims calibration replaces this value.
TCWS2_TRACKER_MODULE_SYNTHETIC_T4_ORDERED_STATES | beta_ln,tropical_cyclone_wind,TCWS2_TRACKER_MODULE_SYNTHETIC_T4_ORDERED_STATES,0.275,curve_fit_shape,T4_placeholder_or_expert_judgment,TCWS2_CELL_LOCAL_SYNTHETIC_DECISION;NO_DIRECT_TC_CALIBRATION_SOURCE,Synthetic log-space transition width; not fitted dispersion.,adopt_synthetic_T4,Formal elicitation or matched TC field/claims calibration replaces this value.
TCWS2_TRACKER_MODULE_SYNTHETIC_T4_ORDERED_STATES | MODULE_DS0_NO_DIRECT_DAMAGE cost_ratio,tropical_cyclone_wind,TCWS2_TRACKER_MODULE_SYNTHETIC_T4_ORDERED_STATES,0.0,state_cost_ratio,T4_placeholder_or_expert_judgment,TCWS2_CELL_LOCAL_SYNTHETIC_DECISION;NO_DIRECT_TC_CALIBRATION_SOURCE,Explicit synthetic same-unit consequence ratio keeps probability and DR typed separately.,adopt_synthetic_T4,Formal elicitation or matched TC field/claims calibration replaces this value.
TCWS2_TRACKER_MODULE_SYNTHETIC_T4_ORDERED_STATES | MODULE_DS1_LOCALIZED_REPLACEMENT cost_ratio,tropical_cyclone_wind,TCWS2_TRACKER_MODULE_SYNTHETIC_T4_ORDERED_STATES,0.1,state_cost_ratio,T4_placeholder_or_expert_judgment,TCWS2_CELL_LOCAL_SYNTHETIC_DECISION;NO_DIRECT_TC_CALIBRATION_SOURCE,Explicit synthetic same-unit consequence ratio keeps probability and DR typed separately.,adopt_synthetic_T4,Formal elicitation or matched TC field/claims calibration replaces this value.
TCWS2_TRACKER_MODULE_SYNTHETIC_T4_ORDERED_STATES | MODULE_DS2_FIELD_REPLACEMENT cost_ratio,tropical_cyclone_wind,TCWS2_TRACKER_MODULE_SYNTHETIC_T4_ORDERED_STATES,1.0,state_cost_ratio,T4_placeholder_or_expert_judgment,TCWS2_CELL_LOCAL_SYNTHETIC_DECISION;NO_DIRECT_TC_CALIBRATION_SOURCE,Explicit synthetic same-unit consequence ratio keeps probability and DR typed separately.,adopt_synthetic_T4,Formal elicitation or matched TC field/claims calibration replaces this value.
TCWS2_TRACKER_MODULE_SYNTHETIC_T4_ORDERED_STATES | lower_resistance medians,tropical_cyclone_wind,TCWS2_TRACKER_MODULE_SYNTHETIC_T4_ORDERED_STATES,"[0.8, 1.15]",curve_fit_shape,T4_placeholder_or_expert_judgment,TCWS2_CELL_LOCAL_SYNTHETIC_DECISION;NO_DIRECT_TC_CALIBRATION_SOURCE,Unweighted synthetic resistance scenario; not a percentile or fitted hurricane parameter.,adopt_synthetic_T4,Formal elicitation or matched TC field/claims calibration replaces this value.
TCWS2_TRACKER_MODULE_SYNTHETIC_T4_ORDERED_STATES | central_screening medians,tropical_cyclone_wind,TCWS2_TRACKER_MODULE_SYNTHETIC_T4_ORDERED_STATES,"[0.95, 1.4]",curve_fit_shape,T4_placeholder_or_expert_judgment,TCWS2_CELL_LOCAL_SYNTHETIC_DECISION;NO_DIRECT_TC_CALIBRATION_SOURCE,Unweighted synthetic resistance scenario; not a percentile or fitted hurricane parameter.,adopt_synthetic_T4,Formal elicitation or matched TC field/claims calibration replaces this value.
TCWS2_TRACKER_MODULE_SYNTHETIC_T4_ORDERED_STATES | upper_resistance medians,tropical_cyclone_wind,TCWS2_TRACKER_MODULE_SYNTHETIC_T4_ORDERED_STATES,"[1.1, 1.7]",curve_fit_shape,T4_placeholder_or_expert_judgment,TCWS2_CELL_LOCAL_SYNTHETIC_DECISION;NO_DIRECT_TC_CALIBRATION_SOURCE,Unweighted synthetic resistance scenario; not a percentile or fitted hurricane parameter.,adopt_synthetic_T4,Formal elicitation or matched TC field/claims calibration replaces this value.
TCWS2_TRACKER_SBOS_SYNTHETIC_T4_ORDERED_STATES | beta_ln,tropical_cyclone_wind,TCWS2_TRACKER_SBOS_SYNTHETIC_T4_ORDERED_STATES,0.275,curve_fit_shape,T4_placeholder_or_expert_judgment,TCWS2_CELL_LOCAL_SYNTHETIC_DECISION;NO_DIRECT_TC_CALIBRATION_SOURCE,Synthetic log-space transition width; not fitted dispersion.,adopt_synthetic_T4,Formal elicitation or matched TC field/claims calibration replaces this value.
TCWS2_TRACKER_SBOS_SYNTHETIC_T4_ORDERED_STATES | STRUCT_DS0_NO_DIRECT_DAMAGE cost_ratio,tropical_cyclone_wind,TCWS2_TRACKER_SBOS_SYNTHETIC_T4_ORDERED_STATES,0.0,state_cost_ratio,T4_placeholder_or_expert_judgment,TCWS2_CELL_LOCAL_SYNTHETIC_DECISION;NO_DIRECT_TC_CALIBRATION_SOURCE,Explicit synthetic same-unit consequence ratio keeps probability and DR typed separately.,adopt_synthetic_T4,Formal elicitation or matched TC field/claims calibration replaces this value.
TCWS2_TRACKER_SBOS_SYNTHETIC_T4_ORDERED_STATES | STRUCT_DS1_LOCALIZED_REPAIR cost_ratio,tropical_cyclone_wind,TCWS2_TRACKER_SBOS_SYNTHETIC_T4_ORDERED_STATES,0.15,state_cost_ratio,T4_placeholder_or_expert_judgment,TCWS2_CELL_LOCAL_SYNTHETIC_DECISION;NO_DIRECT_TC_CALIBRATION_SOURCE,Explicit synthetic same-unit consequence ratio keeps probability and DR typed separately.,adopt_synthetic_T4,Formal elicitation or matched TC field/claims calibration replaces this value.
TCWS2_TRACKER_SBOS_SYNTHETIC_T4_ORDERED_STATES | STRUCT_DS2_FULL_UNIT_REPLACEMENT cost_ratio,tropical_cyclone_wind,TCWS2_TRACKER_SBOS_SYNTHETIC_T4_ORDERED_STATES,1.0,state_cost_ratio,T4_placeholder_or_expert_judgment,TCWS2_CELL_LOCAL_SYNTHETIC_DECISION;NO_DIRECT_TC_CALIBRATION_SOURCE,Explicit synthetic same-unit consequence ratio keeps probability and DR typed separately.,adopt_synthetic_T4,Formal elicitation or matched TC field/claims calibration replaces this value.
TCWS2_TRACKER_SBOS_SYNTHETIC_T4_ORDERED_STATES | STRUCT_DS3_TERMINAL_UNIT_FAILURE cost_ratio,tropical_cyclone_wind,TCWS2_TRACKER_SBOS_SYNTHETIC_T4_ORDERED_STATES,1.0,state_cost_ratio,T4_placeholder_or_expert_judgment,TCWS2_CELL_LOCAL_SYNTHETIC_DECISION;NO_DIRECT_TC_CALIBRATION_SOURCE,Explicit synthetic same-unit consequence ratio keeps probability and DR typed separately.,adopt_synthetic_T4,Formal elicitation or matched TC field/claims calibration replaces this value.
TCWS2_TRACKER_SBOS_SYNTHETIC_T4_ORDERED_STATES | lower_resistance medians,tropical_cyclone_wind,TCWS2_TRACKER_SBOS_SYNTHETIC_T4_ORDERED_STATES,"[0.95, 1.15, 1.35]",curve_fit_shape,T4_placeholder_or_expert_judgment,TCWS2_CELL_LOCAL_SYNTHETIC_DECISION;NO_DIRECT_TC_CALIBRATION_SOURCE,Unweighted synthetic resistance scenario; not a percentile or fitted hurricane parameter.,adopt_synthetic_T4,Formal elicitation or matched TC field/claims calibration replaces this value.
TCWS2_TRACKER_SBOS_SYNTHETIC_T4_ORDERED_STATES | central_screening medians,tropical_cyclone_wind,TCWS2_TRACKER_SBOS_SYNTHETIC_T4_ORDERED_STATES,"[1.15, 1.4, 1.65]",curve_fit_shape,T4_placeholder_or_expert_judgment,TCWS2_CELL_LOCAL_SYNTHETIC_DECISION;NO_DIRECT_TC_CALIBRATION_SOURCE,Unweighted synthetic resistance scenario; not a percentile or fitted hurricane parameter.,adopt_synthetic_T4,Formal elicitation or matched TC field/claims calibration replaces this value.
TCWS2_TRACKER_SBOS_SYNTHETIC_T4_ORDERED_STATES | upper_resistance medians,tropical_cyclone_wind,TCWS2_TRACKER_SBOS_SYNTHETIC_T4_ORDERED_STATES,"[1.35, 1.7, 2.0]",curve_fit_shape,T4_placeholder_or_expert_judgment,TCWS2_CELL_LOCAL_SYNTHETIC_DECISION;NO_DIRECT_TC_CALIBRATION_SOURCE,Unweighted synthetic resistance scenario; not a percentile or fitted hurricane parameter.,adopt_synthetic_T4,Formal elicitation or matched TC field/claims calibration replaces this value.
