claim_id,pathway_id,claim_text,claim_type,source_ids,exact_locator,evidence_tier,parameter_or_rule,adoption_status,permitted_inference,prohibited_inference,reasoning,update_trigger
"TCWS-C011","tropical_cyclone_wind","Ceferino's observed structural failures included cascading damage and debris from failed panels.","direct_observation","TCWS-S002","§2.1 pp. 2–3","T1_claims_or_field_calibrated","wind_and_debris_mechanism_boundary","adopt_with_limits","Preserve debris/cascade context when auditing the field fragility.","Call the candidate a clean aerodynamic-pressure-only response or separately price debris loss from the same observations.","The source-native observations combine mechanisms and do not identify their separate causal shares.","Matched event inspections isolate pressure, impact, and consequential damage."
"TCWS-C012","tropical_cyclone_wind","Perry et al. reviewed 1,534 mixed residential, commercial, and utility PV sites after Hurricanes Irma and Maria; 17 percent had visible damage and 2.8 percent had more than 50 percent visible damage.","direct_observation","TCWS-S003","abstract p. 1012; §3.1 and Table 2 pp. 1016–1018","T1_claims_or_field_calibrated","perry_remote_sensing_statistics","adopt_audit_only","Use as a broad field prevalence and imagery-method constraint.","Fit a utility-scale ground-mounted fragility or economic DR from the aggregate percentages.","The sample mixes asset classes and the reported endpoint is visible module-area damage, not a separately calibrated target-asset loss state.","The authors release a utility-scale ground-mounted subset with architecture, demand, inspection, and cost fields."
"TCWS-C013","tropical_cyclone_wind","Perry et al. found only a weak damage relationship with estimated maximum gust and documented strong installation/site heterogeneity.","direct_observation","TCWS-S003","Figs. 4–5 pp. 1016–1018; Discussion pp. 1021–1022","T1_claims_or_field_calibrated","installation_and_site_heterogeneity","adopt","Require mounting, installation, site, and local-demand descriptors in future field calibration.","Use gust alone as a sufficient universal predictor or infer a portable threshold from paired sites.","The field evidence shows materially different damage at nearby sites and identifies installation details as consequential but often proprietary.","A matched multivariate population dataset supports a reduced selector set."
"TCWS-C014","tropical_cyclone_wind","Perry's manual remote-sensing endpoint does not identify hidden electrical damage, component disposition, repair scope, or direct repair cost.","source_interpretation","TCWS-S003","§2.4 pp. 1015–1016; Discussion pp. 1021–1022","T1_claims_or_field_calibrated","remote_sensing_endpoint_limit","adopt","Use imagery for visible-damage screening and field-data design.","Convert percent module area missing or damaged into failure-unit economic DR.","Visible surface change is not a same-unit repair/replacement-cost endpoint and can miss internal or electrical damage.","Linked inspection, work-order, salvage, and cost records become available."
"TCWS-C015","tropical_cyclone_wind","The Ceferino and Perry evidence must not be counted as independent field populations without record-level deduplication.","governance_decision","TCWS-S002;TCWS-S003","both studies' Caribbean Irma/Maria event and site descriptions","T1_claims_or_field_calibrated","evidence_dependence_rule","adopt","Treat them as complementary endpoint/method evidence with possible overlapping events and sites.","Multiply confidence or sample size as though the two sources were independent.","Both sources draw from the same regional hurricane seasons and public descriptions do not establish record-level independence.","Site identifiers establish overlap or independence."
"TCWS-C016","tropical_cyclone_wind","The DOE/FEMP St. Croix case documents a 469 kW fixed-tilt array assessed as total loss with rack, beam, clamp, fastener, corrosion, liberated-module, enclosure, conduit, inverter, switchgear, and transformer mechanisms.","direct_observation","TCWS-S004","Executive Summary pp. vi–vii; §1.1/Table 1 pp. 2–3; §§2–3.6 pp. 5–12","T3_engineering_proxy_or_adjacent_empirical","st_croix_mechanism_and_failure_unit_case","adopt_with_limits","Use the case to populate anatomy, dependency, inspection, and compound-peril fields.","Fit a population fragility, transfer the total-loss disposition, or infer component economic severities.","One detailed case exposes mechanisms but does not estimate a representative probability or cost-state distribution.","A population of comparable sites with local demands and itemized repair/replacement records is available."
"TCWS-C017","tropical_cyclone_wind","The St. Croix case combines high wind, wind-driven rain, and flash flooding; its reported approximately 104 mph event estimate and 145 mph design value are not population failure thresholds.","source_interpretation","TCWS-S004","Executive Summary pp. vi–vii; §§1.1, 2, and 3 pp. 2–12","T3_engineering_proxy_or_adjacent_empirical","compound_event_and_threshold_limit","adopt","Route pressure, debris, rain ingress, and flood mechanisms separately while preserving one parent event family.","Use either speed as a tropical-cyclone DR onset, design median, or evidence that the array failed below design solely from wind.","The case is compound and site specific; reported estimates do not isolate a wind-only causal threshold.","Forensic load reconstruction isolates mechanisms and component capacities."
"TCWS-C018","tropical_cyclone_wind","ASCE and fixed-tilt wind-tunnel evidence are design and demand anchors, not failure probability or economic severity evidence.","source_interpretation","TCWS-S005;TCWS-S010","ASCE Chs. 26, 29, and 31; Browne abstract and §§1–5","T2_public_lab_standard_or_physics","fixed_tilt_demand_bridge_boundary","adopt","Use exact edition, geometry, zone, exposure, and small-deflection eligibility in a future fixed-tilt local-demand bridge.","Treat code wind, design pressure, or a wind coefficient as as-built capacity, D50, damage state, or DR.","Design adequacy calculations and load coefficients do not measure population failure disposition or repair cost.","Matched component demand-capacity-failure-cost evidence passes review."
"TCWS-C019","tropical_cyclone_wind","Tracker critical velocity is exact-system, angle, layout, direction, row, and qualification dependent.","source_interpretation","TCWS-S006;TCWS-S007;TCWS-S011;TCWS-S012","FM §§2.1.2.3–2.1.2.4; IEC scope; aeroelastic benchmark and stability-map results","T2_public_lab_standard_or_physics","tracker_ucrit_and_state_contract","adopt","Require exact tracker system, qualification, configuration, attained angle, drive/lock state, position, direction, and compatible speed basis before using Ucrit.","Supply a generic Ucrit, infer it from IEC qualification, or transfer benchmark critical speed to an unnamed production tracker or TC field.","The studies show instability depends on the defined system and state; qualification identity is necessary but does not itself supply a generic value.","A governed certified tracker-capacity catalog with structured equivalence becomes available."
"TCWS-C020","tropical_cyclone_wind","FM's trigger at 25 percent below tested instability speed is an operational action margin, not damage onset.","source_interpretation","TCWS-S006","§§2.1.2.3–2.1.2.4 pp. 3–4","T2_public_lab_standard_or_physics","tracker_stow_action_gate","adopt_flag_only","Use 0.75 Ucrit only as an exact-basis control/action flag after all qualification fields match.","Force positive damage at the trigger, force zero below it, calibrate a fragility median from it, or apply it across mismatched speed definitions.","The source specifies an operating margin below tested instability, not an observed failure threshold.","FM changes the criterion or matched damage observations calibrate the relationship."
"TCWS-C021","tropical_cyclone_wind","IEC 62817 tracker qualification and IEC 61730 module safety qualification are selector provenance, not tropical-cyclone fragility.","source_interpretation","TCWS-S007;TCWS-S008","official IEC scope and test-purpose pages","T2_public_lab_standard_or_physics","qualification_provenance_rule","adopt","Record the exact standard, edition, product, configuration, and test identity.","Infer site wind capacity, TC survival, failure probability, economic severity, or mitigation credit from qualification alone.","Qualification standards define test and safety scope but do not provide the target population's hazard-to-cost response.","A product-specific qualified capacity and field-validation artifact is authorized."
"TCWS-C022","all_shared","The NLR Q1-2025 UPV benchmark is a reference value source only, under value_source_id NLR_Q1_2025_UPV_PV_ONLY_2024_USD.","value_rule","TCWS-S013","dataset landing page and governed parent value ledger","T2_public_lab_standard_or_physics","reference_value_lineage","adopt_with_limits","Use exact row-level units, vintage, and denominator mapping after the parent-ledger crosswalk is verified.","Use benchmark shares as damage caps, exposed fractions, site appraisal, support-allocation rules, or failure severity.","Cost structure can support a denominator but supplies no hazard response or repair disposition.","A new benchmark vintage or site-specific BOM/value ledger supersedes the reference."
"TCWS-C023","tropical_cyclone_wind","PV_GSU_SUBSTATION remains a separate solar-plant failure unit and is withheld, not assigned zero and not inherited from a generic hurricane substation placeholder.","governance_decision","TCWS-S004;TCWS-S013;LEG-TCWS-001;LEG-TCWS-002;GOVERNANCE_CONTRACT","St. Croix electrical mechanisms; value lineage; legacy substation rows; coverage gate","T4_placeholder_or_expert_judgment","PV_GSU_SUBSTATION_coverage","withhold","Preserve point or yard exposure, component value, and separate future evidence routing.","Apply whole-array exposure, legacy substation logistic DR, flood/rain loss, or zero immunity to the GSU.","A shared GSU has different spatial grain, mechanisms, values, and evidence needs from the array field.","GSU-specific TC wind demand, disposition, exposure, and same-unit cost data pass review."
"TCWS-C024","tropical_cyclone_wind","PV_POWER_CONVERSION_AND_COLLECTION remains a separate withheld unit for inverters, combiners, wiring, enclosures, collection, grounding, and related power-path equipment.","governance_decision","TCWS-S004;TCWS-S009;TCWS-S013;GOVERNANCE_CONTRACT","St. Croix §§3.4–3.6; Owner's Guide §5; value and coverage audits","T3_engineering_proxy_or_adjacent_empirical","PV_POWER_CONVERSION_AND_COLLECTION_coverage","withhold","Keep the equipment anatomy and value/exposure seam explicit for later evidence.","Scale it by array structural DR, call it wind immune, or mix wind-driven rain/flood ingress into a wind-only curve.","The unit has different direct and dependency mechanisms and lacks a matched wind-to-disposition-to-cost chain.","Unit-specific demand, disposition, repair, and cost evidence becomes available."
"TCWS-C025","tropical_cyclone_wind","The strong_wind_solar package may contribute source discovery, anatomy, terminology, and governance controls but no numeric transfer.","governance_decision","TCWS-S015;GOVERNANCE_CONTRACT","cross-cell register rows and neighboring-wind boundary","T3_engineering_proxy_or_adjacent_empirical","cross_cell_reuse_rule","adopt_with_limits","Reuse reviewed primary-source lineage after independent registration and pathway-specific transfer analysis.","Inherit convective demand axes, downburst profiles, curve forms, T4 medians, beta, severity, stow credit, or exposure behavior.","Asset substrate is reusable, while causal wind fields and numeric evidence are pathway specific.","A formal numerical equivalence review passes."
"TCWS-C026","tropical_cyclone_wind","The legacy hurricane-solar memo mischaracterizes Ceferino's ground-mounted result and its logistic parameters are rejected for runtime.","legacy_audit_finding","TCWS-S002;LEG-TCWS-001","Ceferino §4.2 p. 7; legacy memo §§2.6–2.8, §5, Appendix A; index rows 219–299","T4_placeholder_or_expert_judgment","legacy_curve_bundle","reject_runtime_retain_audit","Preserve exact numbers for source correction, migration reproduction, and regression tests only.","Adopt architecture shifts, caps, slopes, midpoints, confidence labels, or an economic interpretation from the memo.","The legacy record substitutes 58 m/s and beta 0.30 for the paper's roughly 90 m/s and 0.15 ground posterior, then adds unsupported architecture and severity assumptions.","A separately calibrated, fully provenance-resolved curve passes promotion gates."
"TCWS-C027","tropical_cyclone_wind","Hazard Modeling's provisional hurricane-solar implementation is a migration fixture only.","legacy_audit_finding","LEG-TCWS-002;GOVERNANCE_CONTRACT","01_damage.py lines 14–39, 56–105, 136–183, 197–207","T4_placeholder_or_expert_judgment","legacy_consumer_behavior","reject_runtime_retain_audit","Reproduce exact old behavior for cutover comparison.","Treat hardcoded PV, mounting, substation, or zero-remainder TIV weights and anchored logistics as calibrated Damage outputs or a valid fallback.","The consumer mixes mechanisms and unsupported value shares and labels absent coverage as approximately immune.","A governed promoted Damage artifact and explicit consumer cutover replace the fixture."
"TCWS-C028","tropical_cyclone_wind","No public matched chain was located in the bounded review from representative local tropical-cyclone demand through failure-unit state and disposition to same-unit direct repair or replacement cost.","governance_decision","TCWS-S002;TCWS-S003;TCWS-S004;BOUNDED_SEARCH_LOG","bounded-search chain matrix and endpoint pressure tests","T3_engineering_proxy_or_adjacent_empirical","runtime_curve_gate","withhold","Use the bounded result as the reason for NO_RUNTIME_CURVE and as an evidence-acquisition roadmap.","Claim universal absence across private owner, OEM, insurer, non-indexed, non-English, or post-cutoff evidence.","Strong sources stop at site probability, visible damage, design/demand, qualification, or a compound single-site case.","Authorized matched event, configuration, inspection, disposition, and cost records close the chain."
"TCWS-C029","tropical_cyclone_wind","Wind, debris impact, wind-driven rain, flood or surge, and TC-spawned tornado pathways preserve one event_family_id but route separately.","governance_decision","TCWS-S004;GOVERNANCE_CONTRACT","St. Croix compound-event evidence; event-identity and neighboring-hazard controls","T4_placeholder_or_expert_judgment","compound_event_identity_rule","adopt","Coordinate one physical occurrence and downstream loss assembly without duplicate value consumption.","Blend all mechanisms into a wind curve or count one damaged value stock independently in several pathways.","The same cyclone can produce distinct mechanisms whose evidence and exposure grains differ.","A governed multi-pathway consequence assembler supersedes the current rule."
"TCWS-C030","tropical_cyclone_wind","Model v0.1/docs r1 is a noncanonical coverage scaffold with zero runtime curve records; scalar damage and monetary loss are withheld.","governance_decision","GOVERNANCE_CONTRACT","change classification, capability declaration, and fail-closed release gate","T4_placeholder_or_expert_judgment","canonical_runtime_artifact=false; curve_records=[]","withhold","Return null with stable reason code NO_RUNTIME_CURVE after identity and input validation.","Return zero, a site fragility probability, a legacy proxy, or an adjacent-cell fallback as DR or loss.","No candidate completes the physical-state, economic-severity, exposure, and provenance chain required for runtime publication.","A governed model v1.0 behavior change passes evidence, seven-step, tests, schemas, capability, and release review."
