claim_id,pathway_id,claim_text,claim_type,source_ids,exact_locator,evidence_tier,parameter_or_rule,adoption_status,permitted_inference,prohibited_inference,reasoning,update_trigger
TCWS-C011,tropical_cyclone_wind,Ceferino's observed structural failures included cascading damage and debris from failed panels.,direct_observation,TCWS-S002,§2.1 pp. 2–3,T1_claims_or_field_calibrated,wind_and_debris_mechanism_boundary,adopt_with_limits,Preserve debris/cascade context when auditing the field fragility.,Call the candidate a clean aerodynamic-pressure-only response or separately price debris loss from the same observations.,The source-native observations combine mechanisms and do not identify their separate causal shares.,"Matched event inspections isolate pressure, impact, and consequential damage."
TCWS-C012,tropical_cyclone_wind,"Perry et al. reviewed 1,534 mixed residential, commercial, and utility PV sites after Hurricanes Irma and Maria; 17 percent had visible damage and 2.8 percent had more than 50 percent visible damage.",direct_observation,TCWS-S003,abstract p. 1012; §3.1 and Table 2 pp. 1016–1018,T1_claims_or_field_calibrated,perry_remote_sensing_statistics,adopt_audit_only,Use as a broad field prevalence and imagery-method constraint.,Fit a utility-scale ground-mounted fragility or economic DR from the aggregate percentages.,"The sample mixes asset classes and the reported endpoint is visible module-area damage, not a separately calibrated target-asset loss state.","The authors release a utility-scale ground-mounted subset with architecture, demand, inspection, and cost fields."
TCWS-C013,tropical_cyclone_wind,Perry et al. found only a weak damage relationship with estimated maximum gust and documented strong installation/site heterogeneity.,direct_observation,TCWS-S003,Figs. 4–5 pp. 1016–1018; Discussion pp. 1021–1022,T1_claims_or_field_calibrated,installation_and_site_heterogeneity,adopt,"Require mounting, installation, site, and local-demand descriptors in future field calibration.",Use gust alone as a sufficient universal predictor or infer a portable threshold from paired sites.,The field evidence shows materially different damage at nearby sites and identifies installation details as consequential but often proprietary.,A matched multivariate population dataset supports a reduced selector set.
TCWS-C014,tropical_cyclone_wind,"Perry's manual remote-sensing endpoint does not identify hidden electrical damage, component disposition, repair scope, or direct repair cost.",source_interpretation,TCWS-S003,§2.4 pp. 1015–1016; Discussion pp. 1021–1022,T1_claims_or_field_calibrated,remote_sensing_endpoint_limit,adopt,Use imagery for visible-damage screening and field-data design.,Convert percent module area missing or damaged into failure-unit economic DR.,Visible surface change is not a same-unit repair/replacement-cost endpoint and can miss internal or electrical damage.,"Linked inspection, work-order, salvage, and cost records become available."
TCWS-C015,tropical_cyclone_wind,The Ceferino and Perry evidence must not be counted as independent field populations without record-level deduplication.,governance_decision,TCWS-S002;TCWS-S003,both studies' Caribbean Irma/Maria event and site descriptions,T1_claims_or_field_calibrated,evidence_dependence_rule,adopt,Treat them as complementary endpoint/method evidence with possible overlapping events and sites.,Multiply confidence or sample size as though the two sources were independent.,Both sources draw from the same regional hurricane seasons and public descriptions do not establish record-level independence.,Site identifiers establish overlap or independence.
TCWS-C016,tropical_cyclone_wind,"The DOE/FEMP St. Croix case documents a 469 kW fixed-tilt array assessed as total loss with rack, beam, clamp, fastener, corrosion, liberated-module, enclosure, conduit, inverter, switchgear, and transformer mechanisms.",direct_observation,TCWS-S004,Executive Summary pp. vi–vii; §1.1/Table 1 pp. 2–3; §§2–3.6 pp. 5–12,T3_engineering_proxy_or_adjacent_empirical,st_croix_mechanism_and_failure_unit_case,adopt_with_limits,"Use the case to populate anatomy, dependency, inspection, and compound-peril fields.","Fit a population fragility, transfer the total-loss disposition, or infer component economic severities.",One detailed case exposes mechanisms but does not estimate a representative probability or cost-state distribution.,A population of comparable sites with local demands and itemized repair/replacement records is available.
TCWS-C017,tropical_cyclone_wind,"The St. Croix case combines high wind, wind-driven rain, and flash flooding; its reported approximately 104 mph event estimate and 145 mph design value are not population failure thresholds.",source_interpretation,TCWS-S004,"Executive Summary pp. vi–vii; §§1.1, 2, and 3 pp. 2–12",T3_engineering_proxy_or_adjacent_empirical,compound_event_and_threshold_limit,adopt,"Route pressure, debris, rain ingress, and flood mechanisms separately while preserving one parent event family.","Use either speed as a tropical-cyclone DR onset, design median, or evidence that the array failed below design solely from wind.",The case is compound and site specific; reported estimates do not isolate a wind-only causal threshold.,Forensic load reconstruction isolates mechanisms and component capacities.
TCWS-C018,tropical_cyclone_wind,"ASCE and fixed-tilt wind-tunnel evidence are design and demand anchors, not failure probability or economic severity evidence.",source_interpretation,TCWS-S005;TCWS-S010,"ASCE Chs. 26, 29, and 31; Browne abstract and §§1–5",T2_public_lab_standard_or_physics,fixed_tilt_demand_bridge_boundary,adopt,"Use exact edition, geometry, zone, exposure, and small-deflection eligibility in a future fixed-tilt local-demand bridge.","Treat code wind, design pressure, or a wind coefficient as as-built capacity, D50, damage state, or DR.",Design adequacy calculations and load coefficients do not measure population failure disposition or repair cost.,Matched component demand-capacity-failure-cost evidence passes review.
TCWS-C019,tropical_cyclone_wind,"Tracker critical velocity is exact-system, angle, layout, direction, row, and qualification dependent.",source_interpretation,TCWS-S006;TCWS-S007;TCWS-S011;TCWS-S012,FM §§2.1.2.3–2.1.2.4; IEC scope; aeroelastic benchmark and stability-map results,T2_public_lab_standard_or_physics,tracker_ucrit_and_state_contract,adopt,"Require exact tracker system, qualification, configuration, attained angle, drive/lock state, position, direction, and compatible speed basis before using Ucrit.","Supply a generic Ucrit, infer it from IEC qualification, or transfer benchmark critical speed to an unnamed production tracker or TC field.",The studies show instability depends on the defined system and state; qualification identity is necessary but does not itself supply a generic value.,A governed certified tracker-capacity catalog with structured equivalence becomes available.
TCWS-C020,tropical_cyclone_wind,"FM's trigger at 25 percent below tested instability speed is an operational action margin, not damage onset.",source_interpretation,TCWS-S006,§§2.1.2.3–2.1.2.4 pp. 3–4,T2_public_lab_standard_or_physics,tracker_stow_action_gate,adopt_flag_only,Use 0.75 Ucrit only as an exact-basis control/action flag after all qualification fields match.,"Force positive damage at the trigger, force zero below it, calibrate a fragility median from it, or apply it across mismatched speed definitions.","The source specifies an operating margin below tested instability, not an observed failure threshold.",FM changes the criterion or matched damage observations calibrate the relationship.
TCWS-C021,tropical_cyclone_wind,"IEC 62817 tracker qualification and IEC 61730 module safety qualification are selector provenance, not tropical-cyclone fragility.",source_interpretation,TCWS-S007;TCWS-S008,official IEC scope and test-purpose pages,T2_public_lab_standard_or_physics,qualification_provenance_rule,adopt,"Record the exact standard, edition, product, configuration, and test identity.","Infer site wind capacity, TC survival, failure probability, economic severity, or mitigation credit from qualification alone.",Qualification standards define test and safety scope but do not provide the target population's hazard-to-cost response.,A product-specific qualified capacity and field-validation artifact is authorized.
TCWS-C022,all_shared,"The NLR Q1-2025 UPV benchmark is a reference value source only, under value_source_id NLR_Q1_2025_UPV_PV_ONLY_2024_USD.",value_rule,TCWS-S013,dataset landing page and governed parent value ledger,T2_public_lab_standard_or_physics,reference_value_lineage,adopt_with_limits,"Use exact row-level units, vintage, and denominator mapping after the parent-ledger crosswalk is verified.","Use benchmark shares as damage caps, exposed fractions, site appraisal, support-allocation rules, or failure severity.",Cost structure can support a denominator but supplies no hazard response or repair disposition.,A new benchmark vintage or site-specific BOM/value ledger supersedes the reference.
TCWS-C023,tropical_cyclone_wind,"PV_GSU_SUBSTATION remains a separate solar-plant failure unit and is withheld, not assigned zero and not inherited from a generic hurricane substation placeholder.",governance_decision,TCWS-S004;TCWS-S013;LEG-TCWS-001;LEG-TCWS-002;GOVERNANCE_CONTRACT,St. Croix electrical mechanisms; value lineage; legacy substation rows; coverage gate,T4_placeholder_or_expert_judgment,PV_GSU_SUBSTATION_coverage,withhold,"Preserve point or yard exposure, component value, and separate future evidence routing.","Apply whole-array exposure, legacy substation logistic DR, flood/rain loss, or zero immunity to the GSU.","A shared GSU has different spatial grain, mechanisms, values, and evidence needs from the array field.","GSU-specific TC wind demand, disposition, exposure, and same-unit cost data pass review."
TCWS-C024,tropical_cyclone_wind,"PV_POWER_CONVERSION_AND_COLLECTION remains a separate withheld unit for inverters, combiners, wiring, enclosures, collection, grounding, and related power-path equipment.",governance_decision,TCWS-S004;TCWS-S009;TCWS-S013;GOVERNANCE_CONTRACT,St. Croix §§3.4–3.6; Owner's Guide §5; value and coverage audits,T3_engineering_proxy_or_adjacent_empirical,PV_POWER_CONVERSION_AND_COLLECTION_coverage,withhold,Keep the equipment anatomy and value/exposure seam explicit for later evidence.,"Scale it by array structural DR, call it wind immune, or mix wind-driven rain/flood ingress into a wind-only curve.",The unit has different direct and dependency mechanisms and lacks a matched wind-to-disposition-to-cost chain.,"Unit-specific demand, disposition, repair, and cost evidence becomes available."
TCWS-C025,tropical_cyclone_wind,"The strong_wind_solar package may contribute source discovery, anatomy, terminology, and governance controls but no numeric transfer.",governance_decision,TCWS-S015;GOVERNANCE_CONTRACT,cross-cell register rows and neighboring-wind boundary,T3_engineering_proxy_or_adjacent_empirical,cross_cell_reuse_rule,historical_scope_only,Reuse reviewed primary-source lineage after independent registration and pathway-specific transfer analysis.,"Inherit convective demand axes, downburst profiles, curve forms, T4 medians, beta, severity, stow credit, or exposure behavior.","Asset substrate is reusable, while causal wind fields and numeric evidence are pathway specific. Consolidated v2 register: prior-version conclusion is scoped/superseded by TCWS2-C001/005/006; the underlying evidence limitation is retained.",A formal numerical equivalence review passes.
TCWS-C026,tropical_cyclone_wind,The legacy hurricane-solar memo mischaracterizes Ceferino's ground-mounted result and its logistic parameters are rejected for runtime.,legacy_audit_finding,TCWS-S002;LEG-TCWS-001,"Ceferino §4.2 p. 7; legacy memo §§2.6–2.8, §5, Appendix A; index rows 219–299",T4_placeholder_or_expert_judgment,legacy_curve_bundle,reject_runtime_retain_audit,"Preserve exact numbers for source correction, migration reproduction, and regression tests only.","Adopt architecture shifts, caps, slopes, midpoints, confidence labels, or an economic interpretation from the memo.","The legacy record substitutes 58 m/s and beta 0.30 for the paper's roughly 90 m/s and 0.15 ground posterior, then adds unsupported architecture and severity assumptions.","A separately calibrated, fully provenance-resolved curve passes promotion gates."
TCWS-C027,tropical_cyclone_wind,Hazard Modeling's provisional hurricane-solar implementation is a migration fixture only.,legacy_audit_finding,LEG-TCWS-002;GOVERNANCE_CONTRACT,"01_damage.py lines 14–39, 56–105, 136–183, 197–207",T4_placeholder_or_expert_judgment,legacy_consumer_behavior,reject_runtime_retain_audit,Reproduce exact old behavior for cutover comparison.,"Treat hardcoded PV, mounting, substation, or zero-remainder TIV weights and anchored logistics as calibrated Damage outputs or a valid fallback.",The consumer mixes mechanisms and unsupported value shares and labels absent coverage as approximately immune.,A governed promoted Damage artifact and explicit consumer cutover replace the fixture.
TCWS-C028,tropical_cyclone_wind,No public matched chain was located in the bounded review from representative local tropical-cyclone demand through failure-unit state and disposition to same-unit direct repair or replacement cost.,governance_decision,TCWS-S002;TCWS-S003;TCWS-S004;BOUNDED_SEARCH_LOG,bounded-search chain matrix and endpoint pressure tests,T3_engineering_proxy_or_adjacent_empirical,runtime_curve_gate,withhold,Use the bounded result as the reason for NO_RUNTIME_CURVE and as an evidence-acquisition roadmap.,"Claim universal absence across private owner, OEM, insurer, non-indexed, non-English, or post-cutoff evidence.","Strong sources stop at site probability, visible damage, design/demand, qualification, or a compound single-site case.","Authorized matched event, configuration, inspection, disposition, and cost records close the chain."
TCWS-C029,tropical_cyclone_wind,"Wind, debris impact, wind-driven rain, flood or surge, and TC-spawned tornado pathways preserve one event_family_id but route separately.",governance_decision,TCWS-S004;GOVERNANCE_CONTRACT,St. Croix compound-event evidence; event-identity and neighboring-hazard controls,T4_placeholder_or_expert_judgment,compound_event_identity_rule,adopt,Coordinate one physical occurrence and downstream loss assembly without duplicate value consumption.,Blend all mechanisms into a wind curve or count one damaged value stock independently in several pathways.,The same cyclone can produce distinct mechanisms whose evidence and exposure grains differ.,A governed multi-pathway consequence assembler supersedes the current rule.
TCWS-C030,tropical_cyclone_wind,Model v0.1/docs r1 is a noncanonical coverage scaffold with zero runtime curve records; scalar damage and monetary loss are withheld.,governance_decision,GOVERNANCE_CONTRACT,"change classification, capability declaration, and fail-closed release gate",T4_placeholder_or_expert_judgment,canonical_runtime_artifact=false; curve_records=[],withhold,Return null with stable reason code NO_RUNTIME_CURVE after identity and input validation.,"Return zero, a site fragility probability, a legacy proxy, or an adjacent-cell fallback as DR or loss.","No candidate completes the physical-state, economic-severity, exposure, and provenance chain required for runtime publication.","A governed model v1.0 behavior change passes evidence, seven-step, tests, schemas, capability, and release review."
TCWS-C101,tropical_cyclone_wind,"The Perry manual dataset contains 47 records, including 37 ground-mounted and 35 ground-mounted records explicitly marked tracking false.",direct_observation,TCWS-S020,manual CSV filter counts pinned to source SHA,T1_claims_or_field_calibrated,source_cohort_count,adopt,Freeze the exact source-cohort selection.,Call all 35 records utility-scale or representative of a named modern fleet.,System size is missing for part of the cohort and the source does not declare one target utility archetype.,A licensed revised source file or corrected schema changes the counts.
TCWS-C102,tropical_cyclone_wind,The manual endpoint is percent modules visibly damaged based on post-event imagery and labeled site/damage polygons.,direct_observation,TCWS-S003;TCWS-S020;TCWS-S021,paper method and data-description pp. 1-2,T1_claims_or_field_calibrated,source_response_endpoint,adopt_with_limits,Use the visible module fraction as a graded physical response.,"Infer hidden electrical or structural damage, disposition, labor, or whole-site cost.",Remote sensing observes exterior visible damage only.,A source revision adds inspected disposition and same-unit cost.
TCWS-C103,tropical_cyclone_wind,"Under uniform per-module hardware value and full replacement of every visible or missing module, visible module fraction equals a same-unit module-hardware material replacement proxy DR.",governance_assumption,TCWS-S020;TCWS-S021;GOVERNANCE_CONTRACT,v1 ordinate bridge derivation,T4_placeholder_or_expert_judgment,uniform_value_and_full_replacement_bridge,adopt_with_limits,Emit a source-specific module-hardware screening DR only when both assumptions are explicitly acknowledged.,"Describe the result as observed economic loss, claims-calibrated DR, installed replacement cost, or full module-field all-damage DR.",The physical numerator and denominator align only because the two economic bridge assumptions are imposed.,Disposition or module-level value evidence replaces either assumption.
TCWS-C104,tropical_cyclone_wind,"The source x field is the dataset-reported event maximum gust in m/s; provider, station, height, averaging period, exposure, and query semantics are not pinned for the full manual multi-hurricane cohort.",direct_observation,TCWS-S020;TCWS-S021,manual CSV max_wind_gust_(m/s) and data-description weather notes,T1_claims_or_field_calibrated,hazard_axis,adopt_with_limits,Require the exact dataset-reported axis identifier.,"Alias NHC sustained wind, ASCE 3-second gust, array-height wind, Visual Crossing generally, or another gust product.",A numeric gust without complete source semantics is not universally transferable.,The archive publishes exact full-cohort weather-query semantics or an approved bridge is validated.
TCWS-C105,tropical_cyclone_wind,The runtime fit uses 34 source-cohort records from 17.4 through 39.1 m/s.,derived_result,TCWS-S020;GOVERNANCE_CONTRACT,ground and tracking=false; x<=39.1 filter,T3_engineering_proxy_or_adjacent_empirical,fit_population_and_range,adopt,Evaluate only inside the governed source-bounded range.,Extrapolate below 17.4 or above 39.1 m/s.,The next observed point is a lone severe-tail record separated by a 9.1 m/s gap.,A sufficiently populated tail dataset supports a revised range.
TCWS-C106,tropical_cyclone_wind,The one 48.2 m/s source-cohort record has visible damage fraction 0.4142383192 and is audit-only.,direct_observation,TCWS-S020,manual CSV source cohort sparse-tail record,T1_claims_or_field_calibrated,sparse_tail_audit,withhold_runtime,Retain the point in evidence QA and tail-influence discussion.,Use it as a runtime knot or interpolate the 39.1-48.2 m/s gap.,One clustered observation cannot stabilize the severe tail.,Additional architecture-matched observations close the gap and tail.
TCWS-C107,tropical_cyclone_wind,The runtime curve is an unweighted site-level monotone PAVA fit linearized at pooled-block edges.,method_decision,TCWS-S020;GOVERNANCE_CONTRACT,FIT_SUFFICIENT_STATISTICS and derivation script,T3_engineering_proxy_or_adjacent_empirical,fit_method,historical_scope_only,Reproduce deterministic nondecreasing block means and linear interpolation between recorded edges.,"Claim a source-published curve, iid confidence interval, claims calibration, or causal parametric fragility.",Site weighting avoids inventing module counts; monotonic pooling is transparent for sparse zero-inflated observations. Consolidated v2 register: prior-version conclusion is scoped/superseded by TCWS-C220; the underlying evidence limitation is retained.,A reviewed cluster-aware predictive method supersedes the screening fit.
TCWS-C108,tropical_cyclone_wind,No curve-intrinsic uncertainty distribution is carried.,governance_decision,TCWS-S020;GOVERNANCE_CONTRACT,FIT_EVENT_SENSITIVITY_tropical_cyclone_wind_solar__model_v1_0__docs_r1.csv,T4_placeholder_or_expert_judgment,uncertainty_status,withhold,Flag event clustering and fit sensitivity.,Treat row count as iid evidence or construct unsupported confidence bands.,Events and sites are clustered; leave-Maria-out reduces the highest fitted block by about 5.41 times and the severe tail is sparse.,A hierarchical event-aware uncertainty model passes review.
TCWS-C109,tropical_cyclone_wind,The observed site fraction already contains realized spatial extent and must not be multiplied by a second array exposure fraction.,governance_decision,TCWS-S003;TCWS-S020;TCWS-S021,source endpoint definition,T3_engineering_proxy_or_adjacent_empirical,exposure_rule,adopt,Apply the DR once to the exact compatible module-hardware subject value.,Apply an additional at-risk fraction or site overlap multiplier to the same response.,A second fraction would double-attenuate the observed response.,A future local-demand model changes the response grain.
TCWS-C110,tropical_cyclone_wind,The source does not isolate pure aerodynamic uplift from cascade or debris-related visible module loss.,source_interpretation,TCWS-S003;TCWS-S020;TCWS-S021,paper discussion and dataset fields,T3_engineering_proxy_or_adjacent_empirical,causal_scope_acknowledgement,adopt_with_limits,Label output SOURCE_COMPOSITE_HURRICANE_MODULE_LOSS.,Present the proxy as pure wind-pressure fragility or combine it with a debris module curve without overlap review.,Post-event imagery does not identify the causal mechanism of each damaged module.,Mechanism-labeled event observations become available.
TCWS-C111,tropical_cyclone_wind,Tracker modules and tracker SBOS are unsupported by this curve.,governance_decision,TCWS-S006;TCWS-S020,manual cohort has only two ground tracking=true records,T2_public_lab_standard_or_physics,architecture_selector,historical_scope_only,Route tracking=false source-cohort screening only.,Fallback from tracker to fixed tilt or infer stow benefit.,Two tracker records cannot support a tracker route and tracker controls change response. Consolidated v2 register: prior-version conclusion is scoped/superseded by TCWS2-C005/009; the underlying evidence limitation is retained.,A qualified tracker dataset passes the full evidence chain.
TCWS-C112,tropical_cyclone_wind,"Racking, foundations, power conversion, collection, GSU, SCADA, civil, fieldwork, logistics, and hidden damage remain withheld rather than zero.",governance_decision,TCWS-S003;TCWS-S006;TCWS-S020;GOVERNANCE_CONTRACT,failure-unit coverage audit,T4_placeholder_or_expert_judgment,partial_coverage,withhold,Emit explicit null results and reason codes.,"Transfer the module proxy, assume zero loss, or multiply by plant TIV.",The source endpoint and value bridge cover visible module hardware only.,Failure-unit-specific evidence and value chains pass review.
TCWS-C113,tropical_cyclone_wind,Scenario dollar loss and all annual or tail metrics are withheld before canonical promotion.,governance_decision,TCWS-S013;GOVERNANCE_CONTRACT,capability and value-linkage gate,T4_placeholder_or_expert_judgment,loss_capability,withhold,Review scalar source-unit DR independently of financial output.,"Use the NLR benchmark, full TIV, EAL, PML, VaR, or TVaR from this proposal.",The proposal is noncanonical and has partial physical and value coverage.,Canonical promotion plus exact site module-hardware value and consumer validation.
TCWS-C114,tropical_cyclone_wind,Raw DOI files are hash-pinned but not redistributed in-repository because the archive metadata reports no license.,governance_decision,TCWS-S020;TCWS-S021,DOI resource metadata and pinned file hashes,T4_placeholder_or_expert_judgment,source_file_handling,adopt,Publish sufficient statistics and a reproducible derivation script that requires a user-supplied DOI download.,Commit the raw CSV or PDF as if reuse permission were granted.,A public download is not the same as an explicit redistribution license.,The archive supplies a compatible license or written permission.
TCWS-C115,tropical_cyclone_wind,Ceferino Supplementary Table 2 and Perry report materially different damage percentages at four apparent coordinate-nearest Caribbean matches and must not be pooled as one measurement system.,cross_source_discrepancy,TCWS-S003;TCWS-S020;TCWS-S022,"CROSS_METHOD_MATCH_AUDIT_tropical_cyclone_wind_solar__model_v1_0__docs_r1.csv; Ceferino Supplementary Table 2 p. 4; Perry aggregate CSV lines 7, 74, 242, 257",T3_engineering_proxy_or_adjacent_empirical,cross_method_same_event_endpoint_challenge,adopt_as_limitation,Treat the disagreement as correlated cross-method evidence of measurement and endpoint uncertainty and block canonical promotion.,"Average, pool, treat the values as independent labels, assert an authoritative identity join, or use Ceferino/Perry aggregate values in the Perry manual-cohort PAVA fit.","The analyst-derived nearest-coordinate rule finds four same-event utility/ground records within 500 m, but no authoritative shared site identifier adjudicates identity; the sources use different labeling methods and do not establish one common endpoint.",A reconciled site-level adjudication establishes shared identity and common endpoint semantics.
TCWS-C116,tropical_cyclone_wind,"Under the strict evidence-earned economic-DR gate, current evidence supports a docs-only v0.1 update rather than a numerical model v1.",independent_review_finding,TCWS-S020;TCWS-S021;TCWS-S022;GOVERNANCE_CONTRACT,independent primary-source and repo audits dated 2026-07-29,T4_placeholder_or_expert_judgment,strict_gate_outcome,adopt_as_limitation,Label model v1 as a deliberate coverage-first noncanonical screening exception only.,"Describe model v1 as evidence-earned, canonical, field-calibrated economic DR, or ready for Hazard cutover.","The T4 ordinate bridge, population transfer, source-axis ambiguity, endpoint conflict, clustering, and sparse tail remain unresolved.",All strict promotion gates pass.
TCWS-C117,tropical_cyclone_wind,"The released manual CSV has 47 rows and omits the paper-described site_type field, so the governed cohort follows the released file rather than the paper's narrative count/schema.",source_release_discrepancy,TCWS-S003;TCWS-S020,paper Methods/Data Availability compared with manual CSV header and row count,T1_claims_or_field_calibrated,source_release_schema_qa,adopt_as_limitation,"Pin 47 rows, the released columns, and the exact SHA for reproducibility.","Silently assume a 48th row, infer site type from missing fields, or call the 35-row cohort utility-scale.",The public artifact and narrative do not fully align; the released file is the reproducible numerical object.,Authors publish a corrected/versioned data release and change log.
