parameter,pathway_id,curve_id,value,param_role,tier,source_ids,reasoning,status,update_trigger
"thermal_target_axis","wildfire_thermal_attack","none","withheld_pending_local_attack_bridge","axis_bridge","T4_placeholder_or_expert_judgment","WW-S001;WW-S002;WW-S003;WW-S004;GOVERNANCE_CONTRACT","No universal upstream-to-equipment demand variable is qualified.","adopt","Bridge validation and KATs pass."
"radiant_heat_flux_history","wildfire_thermal_attack","none","required_future_no_default_kW_per_m2_time_series","bridge_output_candidate","T2_public_lab_standard_or_physics","WW-S003;WW-S007","Radiation and duration are load-bearing for target/material response.","candidate_disabled","Representative bridge and response qualify."
"convective_heat_flux_history","wildfire_thermal_attack","none","required_future_no_default_kW_per_m2_time_series","bridge_output_candidate","T2_public_lab_standard_or_physics","WW-S003;WW-S004","Convective peaks and sustained heating require explicit history.","candidate_disabled","Representative bridge and response qualify."
"direct_flame_contact_history","wildfire_thermal_attack","none","required_future_unknown_withholds","bridge_output_candidate","T2_public_lab_standard_or_physics","WW-S003;WW-S004","Flame contact cannot be represented only by remote radiant flux.","candidate_disabled","Validated local-attack bridge qualifies."
"gas_temperature_velocity_history","wildfire_thermal_attack","none","required_future_no_default","bridge_output_candidate","T2_public_lab_standard_or_physics","WW-S004","Convective load depends on local gas state and duration.","candidate_disabled","Validated reduced-order representation qualifies."
"firebrand_target_axis","wildfire_firebrand_ignition","none","withheld_pending_deposition_ingress_bridge","axis_bridge","T4_placeholder_or_expert_judgment","WW-S005;WW-S006;GOVERNANCE_CONTRACT","No generic ember-presence-to-equipment ignition bridge is qualified.","adopt","Target-equipment bridge and response pass."
"firebrand_particle_flux_count_history","wildfire_firebrand_ignition","none","required_future_no_default","bridge_input","T2_public_lab_standard_or_physics","WW-S005;WW-S006","One peak particle is not an event deposition history.","open_seam","Qualified event product supplies it."
"firebrand_size_mass_combustion_state","wildfire_firebrand_ignition","none","required_future_no_default","bridge_input","T2_public_lab_standard_or_physics","WW-S005","Particle heat transfer changes with size/type/combustion state.","open_seam","Qualified firebrand characterization enters."
"firebrand_deposition_accumulation_ingress","wildfire_firebrand_ignition","none","required_future_no_default","bridge_input","T2_public_lab_standard_or_physics","WW-S005;WW-S006","Contact area, pile feedback, accumulation, and access to protected zones are distinct.","open_seam","Target-zone observation/model qualifies."
"firebrand_wind_substrate_contact_history","wildfire_firebrand_ignition","none","required_future_no_default","bridge_input","T2_public_lab_standard_or_physics","WW-S005;WW-S006","Wind, substrate, and contact conditions affect thermal transfer.","open_seam","Qualified bridge freezes fields."
"residue_target_axis","wildfire_residue_destructive_contamination","none","deferred_pending_destructive_dose_disposition_chain","axis_bridge","T4_placeholder_or_expert_judgment","WW-S010;GOVERNANCE_CONTRACT","Generic smoke/ash presence is not direct destruction.","deferred","Equipment-specific destructive contamination evidence arrives."
"residue_composition_dose_wetness_conductivity","wildfire_residue_destructive_contamination","none","required_future_no_default","bridge_input","T2_public_lab_standard_or_physics","WW-S010","Conductive/corrosive effect depends on residue and equipment conditions.","open_seam","Qualified test/inspection protocol enters."
"residue_penetration_corrosion_state","wildfire_residue_destructive_contamination","none","required_future_inspected","response_input","T2_public_lab_standard_or_physics","WW-S010","A destructive state must be inspected at the affected equipment grain.","open_seam","Matched inspection and cost records enter."
"fuel_flame_slope_wind_fields","wildfire_thermal_attack","none","required_future_no_default","local_attack_input","T2_public_lab_standard_or_physics","WW-S001;WW-S002;WW-S003;WW-S004","Local attack depends on fire behavior and environment.","capture_only","Validated bridge chooses a reduced input set."
"target_distance_view_shielding","wildfire_thermal_attack","none","required_future_no_default","local_attack_input","T2_public_lab_standard_or_physics","WW-S003;WW-S004","Target geometry and intervening conditions are needed for delivered load.","capture_only","Validated bridge chooses a reduced input set."
"turbine_make_model_and_BOM","all_wildfire","none","required_future_unknown_withholds","selector","T3_engineering_proxy_or_adjacent_empirical","WW-S008;NREL_CWER_2024","Construction, protected zones, values, and dependencies vary by platform.","capture_only","Family-level transfer rule qualifies."
"lower_blade_tip_and_rotor_geometry","wildfire_thermal_attack","none","required_future_no_default","selector_and_geometry","T2_public_lab_standard_or_physics","WW-S009;WW-S013","Ground/fire-to-rotor spatial relation cannot use fixed hub-height attenuation.","capture_only","Exact geometry or validated proxy arrives."
"blade_resin_construction","wildfire_thermal_attack","none","required_future_unknown_withholds","selector","T2_public_lab_standard_or_physics","WW-S007","Material construction controls combustible-matrix response.","capture_only","Qualified material-family model enters."
"enclosure_ventilation_openings","wildfire_firebrand_ignition","none","required_future_unknown_withholds","selector","T3_engineering_proxy_or_adjacent_empirical","WW-S005;WW-S008","Ingress and protected internal-zone exposure depend on openings/ventilation.","capture_only","Target-specific ingress evidence qualifies."
"transformer_location_and_configuration","all_wildfire","none","required_future_unknown_withholds","selector_and_geometry","T3_engineering_proxy_or_adjacent_empirical","WW-S008;WW-S010","Main-transformer response and exposure cannot be inherited from the turbine.","capture_only","Site inventory and response qualify."
"collection_cable_burial_overhead_state","all_wildfire","none","required_future_unknown_withholds","selector_and_geometry","T3_engineering_proxy_or_adjacent_empirical","WW-S009;GOVERNANCE_CONTRACT","Collection exposure changes by segment and construction.","capture_only","Site network inventory arrives."
"shutdown_attained_state","all_wildfire","none","required_future_unknown_no_credit","event_conditioner","T2_public_lab_standard_or_physics","WW-S011;WW-S012;GOVERNANCE_CONTRACT","Commanded shutdown is not proof of attained state or calibrated damage reduction.","capture_only","State-specific effect qualifies."
"deenergization_and_isolation_state","all_wildfire","none","required_future_unknown_no_credit","event_conditioner","T2_public_lab_standard_or_physics","WW-S010;WW-S011;GOVERNANCE_CONTRACT","Electrical state affects safety/disposition but has no generic DR multiplier.","capture_only","Calibrated state effect qualifies."
"suppression_system_state","all_wildfire","none","installed_available_maintained_activated_outcome_required_future","event_conditioner","T2_public_lab_standard_or_physics","WW-S011;WW-S012;WW-S014","System identity and actual availability/outcome must remain distinct.","capture_only","Product-specific efficacy evidence qualifies."
"vegetation_clearance_credit","all_wildfire","none","disabled","control_rule","T4_placeholder_or_expert_judgment","WW-S012;WW-S013;GOVERNANCE_CONTRACT","Prescribed clearance is a field, not universal efficacy.","adopt","Matched loss/control study passes."
"fire_protection_certification_credit","all_wildfire","none","disabled","control_rule","T4_placeholder_or_expert_judgment","WW-S014;GOVERNANCE_CONTRACT","Certification does not encode external-wildfire success probability.","adopt","System-specific efficacy evidence passes."
"turbine_failure_unit","all_wildfire","none","WT_TURBINE_FIRE_ASSEMBLY","failure_unit_design","T3_engineering_proxy_or_adjacent_empirical","WW-S008;WW-S016;NREL_CWER_2024;GOVERNANCE_CONTRACT","Repeated turbine is one dependency-safe assembly with zone states.","adopt","Finer source-backed denominator/state split is approved."
"separate_BOP_failure_units","all_wildfire","none","WT_PAD_ELECTRICAL|WT_COLLECTION_NETWORK|WT_GSU_MAIN_TRANSFORMER|WT_GSU_SWITCHGEAR_BUS|WT_GSU_PROTECTION_CONTROL_DC|WT_GSU_CABLE_TERMINATIONS|WT_CONTROL_MET_OM|WT_FOUNDATION|WT_CIVIL_INFRA","failure_unit_design","T4_placeholder_or_expert_judgment","WW-S008;WW-S009;WW-S010;GOVERNANCE_CONTRACT","BOP subjects have distinct replacement, dependency, spatial, value, and evidence grain.","adopt","Reviewed asset/value redesign."
"support_record_ids","all_shared","none","SUPPORT_FIELDWORK|SUPPORT_TRANSPORT_LOGISTICS","value_support_design","T4_placeholder_or_expert_judgment","NREL_CWER_2024;GOVERNANCE_CONTRACT","Support is referenced once after disposition and is not intrinsic physical DR.","adopt","Allocation contract changes."
"turbine_state_form","all_wildfire","none","mutually_exclusive_or_nested_zone_to_terminal_assembly_candidate","curve_form_candidate","T3_engineering_proxy_or_adjacent_empirical","WW-S008;WW-S016;GOVERNANCE_CONTRACT","Prevent overlapping blade/nacelle/tower terminal charges.","candidate_disabled","State probabilities and same-unit costs qualify."
"turbine_exposure_grain","all_wildfire","none","per_turbine_point_rotor_or_zone_subject","exposure_rule","T4_placeholder_or_expert_judgment","WW-S009;GOVERNANCE_CONTRACT","Repeated turbines require per-unit coupling at compatible geometry grain.","adopt","Exact site geometry changes."
"collection_exposure_grain","all_wildfire","none","segment_or_network_line","exposure_rule","T4_placeholder_or_expert_judgment","WW-S009;GOVERNANCE_CONTRACT","Only relevant line segments receive local attack.","adopt","Exact network geometry changes."
"GSU_exposure_grain","all_wildfire","none","one_shared_yard_with_apparatus_subjects","exposure_rule","T4_placeholder_or_expert_judgment","WW-S008;WW-S009;GOVERNANCE_CONTRACT","Shared substation appears once and apparatus remains separately addressable.","adopt","Site topology changes."
"lease_polygon_full_exposure","all_wildfire","none","prohibited","exposure_rule","T4_placeholder_or_expert_judgment","WW-S009;GOVERNANCE_CONTRACT","Lease/permitted extent is not equipment footprint.","adopt","Never without exact physical/value equivalence."
"turbine_equipment_reference_value","all_shared","none","1090_2023_USD_per_kW","value_reference","T2_public_lab_standard_or_physics","NREL_CWER_2024","Rows 2-9 form a candidate repeated-turbine assembly denominator only.","reference_only","CWER or site ledger changes."
"physical_reference_value","all_shared","none","1623_2023_USD_per_kW","value_reference","T2_public_lab_standard_or_physics","NREL_CWER_2024","Reference physical reconciliation; not a pooled DR denominator.","reference_only","CWER or site ledger changes."
"installed_reference_value","all_shared","none","1968_2023_USD_per_kW","value_reference","T2_public_lab_standard_or_physics","NREL_CWER_2024","Reference reporting denominator; not site TIV.","reference_only","CWER or site ledger changes."
"electrical_reference_value_split","all_shared","none","72_2023_USD_per_kW_unresolved_across_seven_units","value_guardrail","T4_placeholder_or_expert_judgment","NREL_CWER_2024;GOVERNANCE_CONTRACT","Aggregate electrical row cannot populate child values without a method.","withhold","Site BOM/SOV split arrives."
"support_cost_rule","all_shared","none","allocate_once_after_final_disposition","value_rule","T4_placeholder_or_expert_judgment","NREL_CWER_2024;GOVERNANCE_CONTRACT","Prevent intrinsic support DR and duplicate scaling.","adopt","Claims/site allocation rule qualifies."
"unknown_value_behavior","all_shared","none","withhold_scenario_loss","value_rule","T4_placeholder_or_expert_judgment","GOVERNANCE_CONTRACT","Reference values do not default into site loss.","adopt","Exact site values are supplied."
"failure_unit_scalar_dr","all_wildfire","none","withheld_NO_RUNTIME_CURVE","capability","T4_placeholder_or_expert_judgment","GOVERNANCE_CONTRACT;BOUNDED_SEARCH_LOG","No output-bearing curve record exists.","adopt","Model v1.0 release."
"scenario_loss","all_wildfire","none","withheld_NO_RUNTIME_CURVE","capability","T4_placeholder_or_expert_judgment","GOVERNANCE_CONTRACT","DR, local exposure, site value, and support allocation are not jointly qualified.","adopt","All named gates pass."
"scalar_eal","all_wildfire","none","withheld","capability","T4_placeholder_or_expert_judgment","GOVERNANCE_CONTRACT","The cell owns no event frequency and has no damage curve.","adopt","Downstream prerequisites and cap preflight pass."
"pml_var_tvar","all_wildfire","none","withheld","capability","T4_placeholder_or_expert_judgment","GOVERNANCE_CONTRACT","No annual loss distribution or tail-capable downstream object exists.","adopt","Tail-capable consumer integration passes."
