source_id,citation,url,accessed_on,exact_locator,source_type,source_role,pathway_ids,evidence_tier,target_asset_match,target_failure_unit_match,measured_or_modeled_endpoint,permitted_inference,prohibited_inference,decision,status,notes
"WW-S011","Australasian Fire and Emergency Service Authorities Council. Wind Farms and Bushfire Operations, AFAC Publication 2053 (2018).","https://www.energy.nsw.gov.au/sites/default/files/2022-08/2018_10_AFAC_windfarmsbushfiresoperations.pdf","2026-07-28","scope, planning, preparedness, response and recovery recommendations","fire-service operational guidance","site_controls","all_wildfire","T2_public_lab_standard_or_physics","direct","partial","wind-farm bushfire prevention/preparedness/response/recovery fields","Define emergency-plan, responder coordination, turbine shutdown/access and site-information fields.","Create a physical-damage multiplier, suppression-success probability, fragility or cost curve.","adopt_with_limits","reviewed","Operational control source; no response efficacy distribution."
"WW-S012","Country Fire Authority. Design Guidelines and Model Requirements: Renewable Energy Facilities, version 4.4 (2025).","https://www.cfa.vic.gov.au/ArticleDocuments/1933/250611%20-%20CFA%20DGMR%20Renewable%20Energy%20Facilities%20v4.4.pdf","2026-07-28","fire-risk principles; all-facility and wind-energy requirements; planning/operations sections","fire authority design guidance","site_controls","all_wildfire","T2_public_lab_standard_or_physics","direct","partial","site risk, access, water, vegetation, separation, emergency information and fire-management fields","Populate auditable site-control selectors and maintenance/evidence fields.","Apply compliance or any individual requirement as an automatic damage reduction or proof of survival.","adopt_with_limits","reviewed","Jurisdictional guidance, not universal efficacy evidence."
"WW-S013","FM. Property Loss Prevention Data Sheet 13-10: Land-Based Wind Turbines and Farms (2025).","https://www.fm.com/-/media/project/publicwebsites/fmglobal/documentum-new/data-sheet-individual/13-mechanical/fmds1310.pdf","2026-07-28","section 2.2.10 vegetation clearances; sections on oil containment and fire protection","insurer engineering guidance","site_controls_and_selectors","all_wildfire","T2_public_lab_standard_or_physics","direct","partial","vegetation-clearance tables, turbine geometry, combustible-liquid containment and fire-protection recommendations","Capture source-specific clearance basis, hub/rotor geometry, vegetation state, oil containment and protection fields.","Convert prescribed clearance to a universal loss credit or claim no damage when compliant.","adopt_with_limits","reviewed","Recommendation scope and exact edition must remain explicit."
"WW-S014","DNV-SE-0077: Certification of fire protection systems for wind turbines, edition 2015-03 amended 2021-10.","https://www.dnv.com/energy/standards-guidelines/dnv-se-0077-certification-of-fire-protection-systems-for-wind-turbines/","2026-07-28","public scope: component/system certification for wind-turbine fire detection and extinguishing","certification service specification","selector_and_boundary","all_wildfire","T2_public_lab_standard_or_physics","direct","partial","certification scope for fire detection and extinguishing components/systems","Capture exact certification/system identity and installed/available/maintained state as selectors or conditioners.","Treat certification as a wildfire fragility, universal efficacy factor, or proof that suppression succeeds.","adopt_with_limits","reviewed","Licensed detail not reproduced; public scope only."
"WW-S015","Stehly, T.; Duffy, P.; Mulas Hernando, D. Cost of Wind Energy Review: 2024 Edition. NREL/PR-5000-91775 (2024). DOI 10.2172/2479271.","https://www.nrel.gov/docs/fy25osti/91775.pdf","2026-07-28","land-based wind project component-cost breakdown, report p.28; local Wind_Map rows 2:19","government technical report","exposure_or_value","all_shared","T2_public_lab_standard_or_physics","direct","direct","2023-USD turbine, BOS, support and excluded reference cost rows","Reconcile reference physical/support/excluded values and define a candidate same-turbine assembly denominator.","Infer site SOV, GSU allocation, attack, disposition, vulnerability, probability, or repair cost.","adopt_with_limits","reviewed","Reference anatomy only."
"WW-S016","RWE. RWE and EMR transform fire-damaged components of Scroby Sands turbine into future resources (16 April 2026).","https://uk.rwe.com/press-and-news/2026-04-16-rwe-and-emr-transform-fire-damaged-components-of-scroby-sands-turbine/","2026-07-28","event summary: nacelle, blades and upper tower damaged and deconstructed","operator event statement","adjacent_disposition_context","all_wildfire","T3_engineering_proxy_or_adjacent_empirical","direct","partial","named turbine components damaged by a fire and removed/deconstructed","Support dependent turbine-zone disposition concepts after a fire occurs.","Infer external wildfire causation, ignition probability, severity-conditioned state rate, direct cost, or onshore transfer.","adopt_with_limits","reviewed","Actual fire endpoint context; cause/exposure/cost chain absent."
"WW-S017","InfraSure Damage Curve Library legacy WILDFIRE x WIND research and master-curve index, version 1.0 (March 2026).","infrasure-damage-curves/research/WILDFIRE_x_WIND.md","2026-07-28","sections 2-9 and master_curve_index.json wildfire/wind entries","legacy narrative, code and expert-judgment logistics","rejected","all_wildfire","T4_placeholder_or_expert_judgment","direct","partial","three rotor/nacelle/tower logistic curves using FLI, fixed distance, height attenuation and expert caps","Use only for negative regression, source discovery and migration warnings.","Reuse FLI-to-flux conversion, attenuation, curve form, thresholds, caps, ordinates, alleged absence proof, or BOP treatment.","reject_runtime_retain_audit","reviewed","Wrong-direction fire cases and internal inconsistencies do not calibrate exogenous wildfire."
"WW-S018","Damage Modeling wildfire_solar current model-v1.0/docs-r3 and proposed evidence package.","docs/cells/wildfire_solar/README.md","2026-07-28","FSim semantics, source lineage, site-field architecture and Tier-4 ordinate disclosures","governed neighboring cell package","structural_reuse_only","all_wildfire","T3_engineering_proxy_or_adjacent_empirical","partial","partial","solar-specific categorical screening state table and shared wildfire-method vocabulary","Reuse FSim semantics, reviewed primary-source discovery, role vocabulary and fail-closed controls after independent registration.","Transfer solar ordinates, weights, vulnerability ordering, caps, value shares or runtime release authority.","adopt_with_limits","reviewed","Reference is input, not authority; exact shared runtime response is not proven."
"GOVERNANCE_CONTRACT","Damage Modeling method standards, contracts and governed damage-curve workflow.","docs/method/standards/00_index.md","2026-07-28","cell package, evidence, pathway, shared-component, artifact, capability and fail-closed standards","internal governance control","governance_rule","all_shared","T4_placeholder_or_expert_judgment","direct","direct","scope, provenance, value, withholding, testing and release controls","Control package structure, dependency, missing-state behavior and release decision.","Serve as scientific calibration or direct asset evidence.","adopt","reviewed","Stable internal control ID."
"BOUNDED_SEARCH_LOG","Bounded public-evidence search for wildfire_wind model v0.1/docs r1.","docs/cells/wildfire_wind/proposed/BOUNDED_EVIDENCE_SEARCH_LOG_wildfire_wind__model_v0_1__docs_r1.md","2026-07-28","search surfaces, query families, qualification tests, results and update triggers","governed search record","negative_evidence_boundary","all_wildfire","T3_engineering_proxy_or_adjacent_empirical","direct","direct","scoped finding that no matched exogenous demand-to-disposition-to-same-unit-cost chain was located","Support fail-closed outcome within the recorded search scope.","Claim universal absence across private, unindexed, non-English or future evidence.","adopt_with_limits","reviewed","Load-bearing negative-evidence record."
"NREL_CWER_2024","Alias for WW-S015: Cost of Wind Energy Review 2024 Edition.","https://www.nrel.gov/docs/fy25osti/91775.pdf","2026-07-28","Wind_Map rows 2:19 in docs/method/value_basis/solar_wind_value_breakdown.xlsx","registered source alias","exposure_or_value","all_shared","T2_public_lab_standard_or_physics","direct","direct","row-level value-source alias used by VALUE_CROSSWALK","Resolve value rows to WW-S015 and preserve value-source ID convention.","Infer vulnerability, exposure, disposition or site value.","adopt_with_limits","reviewed","Alias only."
