claim_id,pathway_id,claim_text,claim_type,source_ids,exact_locator,evidence_tier,parameter_or_rule,adoption_status,permitted_inference,prohibited_inference,reasoning,update_trigger
FW-C011,flood_inundation_contact,"Riverine pluvial and coastal sources may share a contact response only for the same delivered exposure and conditioner vector.",governance_decision,"FW-S002;FW-S005;GOVERNANCE_CONTRACT","pathway and binding rules",T3_engineering_proxy_or_adjacent_empirical,source_peril_routing,adopt,"Preserve source provenance event identity duration water quality and local depth.","Treat equal grade depth as equal damage under salinity debris velocity or duration differences.","Source label alone is not mechanism equivalence.","Validated source-specific variants or equivalence tests pass."
FW-C012,flood_scour_erosion,"Scour erosion and saturated-soil support loss are separate from direct inundation contact.",governance_decision,"FW-S005;GOVERNANCE_CONTRACT","method standard 18 and discussion boundary",T4_placeholder_or_expert_judgment,pathway_split,adopt,"Defer to hydraulic/geotechnical pathway.","Use the assembly depth curve or legacy foundation logistic.","Axes mechanisms and site dependence differ.","Qualified scour pathway is released."
FW-C013,flood_inundation_contact,"The legacy M3 anchored logistics are regression fixtures and contain a non-renormalized asymptote discrepancy.",direct_observation,LEG-FW-001,"dr() and hardcoded CAPEX/curves",T4_placeholder_or_expert_judgment,legacy_curve,reject,"Reproduce old characterization values only.","Use L as actual asymptote x0 as emitted midpoint or accept the 0.37 ceiling as curve saturation.","Subtracting raw(0) anchors but does not renormalize.","Legacy code is retired after pinned migration."
FW-C014,flood_inundation_contact,"Replacing Hazard M3 alone does not remove the M4 coastal hardcoded bypass.",direct_observation,LEG-FW-002,"CAPEX7 and SURGE_CURVE reconstruction",T4_placeholder_or_expert_judgment,consumer_migration_scope,adopt,"Require one pinned loader for M3 and coastal M4.","Declare migration complete after M3-only replacement.","M4 independently reconstructs the provisional response.","Consumer dual-read and bypass KAT pass."
FW-C015,flood_inundation_contact,"Missing ground/elevation data and synthetic centroid fallback cannot become dry or a priced substation.",governance_decision,"LEG-FW-001;GOVERNANCE_CONTRACT","legacy audit and missing-state rules",T4_placeholder_or_expert_judgment,missing_exposure_policy,adopt,"Preserve missing/placeholder state and withhold or reject.","Convert invalid elevation to zero depth or price a centroid as a 9% GSU.","Unknown exposure and absent physical identity are not observations.","Observed component identity geometry and datum become available."
FW-C016,all_shared,"Support fieldwork and transport are allocated once after direct damaged units and disposition are known.",governance_decision,"FW-S008;GOVERNANCE_CONTRACT","Wind_Map rows 13-14 and value standard",T4_placeholder_or_expert_judgment,support_once_rule,adopt_with_limits,"Preserve 294 USD/kW reference reconciliation and require explicit allocation.","Give support an independent flood curve or add it twice.","Support is repair-scope dependent, not vulnerable hardware.","Claims-backed support allocation is approved."
FW-C017,flood_inundation_contact,"The model-v0.1 bounded negative remains valid for component-local state-to-disposition-to-same-unit-cost chains but is superseded at whole-substation grain by FW-S011.",governance_decision,"FW-S002;FW-S003;FW-S004;FW-S011;FW-S012;BOUNDED_SEARCH_LOG","bounded endpoint review plus Hazus-MH 2.1 Table 7.9 and Hazus 7.0 status",T3_engineering_proxy_or_adjacent_empirical,evidence_reopening,adopt_with_limits,"Adopt one legacy source-native assembly curve while retaining component withholding.","Claim component calibration, current Hazus enablement, or universal evidence completeness.","The newly located source closes only the facility-assembly ordinate gap and FW-S012 narrows its status.","Matched component evidence or a newer official Hazus status changes."
FW-C018,flood_inundation_contact,"Model v1.0 changes capability from universal numeric withholding to one conditional whole-substation scalar DR while every prior failure unit remains withheld.",governance_decision,"FW-S011;FW-S012;GOVERNANCE_CONTRACT","proposed artifact capability declaration and evaluation contract",T3_engineering_proxy_or_adjacent_empirical,capability,adopt_proposed,"Return the assembly scalar only when every exact compatibility gate passes.","Return zero, a component result, legacy fallback, scenario loss, or annual/tail result from the reference evaluator.","A source-native function exists at one grain; no other record passed promotion gates.","Independent review or canonical promotion decision."
FW-C019,flood_inundation_contact,"FW_HAZUS_2_1_SUBSTATION_SCREENING_PWL exactly reproduces Table 7.9 ratios [0,.02,.04,.06,.07,.08,.09,.10,.12,.14,.15] at depths 0 through 10 ft and linearly interpolates only between knots.",direct_observation,"FW-S006;FW-S011","FW-S011 Table 7.9; FW-S006 interpolation form",T3_engineering_proxy_or_adjacent_empirical,FW_HAZUS_2_1_SUBSTATION_SCREENING_PWL,adopt_proposed,"Evaluate finite in-range source-grade depth for the compatible assembly.","Clamp, extrapolate, smooth, add a tail, or apply the table to components.","Exact source transcription plus transparent interpolation minimizes local invention.","Source-table correction or independent transcription failure."
FW-C020,flood_inundation_contact,"The Hazus curve atom is one facility-level control-room cabling transformer and switchgear assembly with the full same-substation direct replacement value denominator.",source_interpretation,FW-S011,"Table 7.9 comments and footnote 2",T3_engineering_proxy_or_adjacent_empirical,whole_substation_source_atom,adopt_proposed,"Use one complete same-facility assembly value after promotion.","Split the source ordinate among components or bind it to project TIV.","The source reports one substation percent-damage function while naming multiple contributors.","A source publishes dependency-safe component attribution."
FW-C021,flood_inundation_contact,"ESSL ESSM and ESSH publish identical Table 7.9 ordinates but substation_hazus_class remains a required no-default selector.",direct_observation,FW-S011,"Table 7.9, pp. 7-20 through 7-21",T3_engineering_proxy_or_adjacent_empirical,substation_hazus_class,adopt_proposed,"Require exact source class and return equal values within this source model.","Infer voltage irrelevance outside the source or default a missing class.","Equality is a source-table fact, not a general empirical conclusion.","New class-specific evidence or source revision."
FW-C022,flood_inundation_contact,"Numeric evaluation requires source_assumption_set_id=FEMA_HAZUS_MH_2_1_TABLE_7_9_UNPROTECTED_SUBSTATION and axis FLOOD_DEPTH_ABOVE_SUBSTATION_GRADE_FT_HAZUS.",governance_decision,"FW-S011;FW-S012;GOVERNANCE_CONTRACT","source assumptions, proposed artifact selector, and evaluation contract",T3_engineering_proxy_or_adjacent_empirical,source_assumption_and_axis_gate,adopt_proposed,"Make the legacy source atom and limitation explicit in every numerical call.","Silently default the assumption set or use a component-contact axis.","Explicit compatibility metadata prevents accidental transfer.","A reviewed source adapter supersedes the gate."
FW-C023,flood_inundation_contact,"Hazus 7.0 lists electric-power substations as mapping-only and states that viewable default electric-power functions are disabled and produce no results.",direct_observation,FW-S012,"Table 9-1 and section 9.4.1 footnote 21",T2_public_lab_standard_or_physics,current_hazus_status,adopt_as_limitation,"Describe the adopted table as a legacy source-native screening proxy.","Describe it as current enabled Hazus output or field validation.","The current official manual explicitly limits runtime status.","FEMA re-enables and documents validated electric-power loss functions."
FW-C024,flood_inundation_contact,"Numeric support is limited to water_quality_class=freshwater_non_contaminated and delivered_depth_basis=unprotected_or_internal_post_bypass_depth; protection is handled once in delivered depth.",governance_decision,"FW-S002;FW-S005;FW-S011;FW-S013;GOVERNANCE_CONTRACT","source domain and proposed conditioner contract",T4_placeholder_or_expert_judgment,conditioner_gate,adopt_proposed,"Evaluate unprotected or internal post-bypass freshwater depth without a second protection modifier.","Transfer to contaminated brackish saltwater or unknown water or add implicit protection credit.","No validated modifier accompanies the source curve, and the current NEMA guide has not yet been reviewed; the freshwater-only gate is conservative governance, not source calibration.","NEMA CS 70006-2026 and qualified water-quality or protection-response evidence are acquired and reviewed."
FW-C025,flood_inundation_contact,"The Hazus assembly representation and the six component GSU representations are mutually exclusive for both response and value.",governance_decision,"FW-S011;GOVERNANCE_CONTRACT;SHARED_SUBSTRATE","source atom and assembly/value standards",T4_placeholder_or_expert_judgment,assembly_component_mutual_exclusion,adopt_proposed,"Choose one non-overlapping representation of one physical substation.","Evaluate or value the assembly and its component rows together.","The assembly ordinate already reflects multiple physical substation contributors.","A dependency-safe decomposition explicitly replaces the assembly."
FW-C026,flood_inundation_contact,"The canonical screening evaluator emits DR; scenario loss is supported only with explicit same-substation value ownership and exposure checks.",governance_decision,"FW-S008;FW-S009;GOVERNANCE_CONTRACT","evaluation contract and value linkage",T4_placeholder_or_expert_judgment,scenario_loss_boundary,released_screening,"Bind an exact same-substation value only after all runtime checks pass.","Treat a DR emit as a reportable dollar loss EAL PML VaR or TVaR without value/frequency evidence.","Canonical status does not supply a site denominator or annual distribution.","Value or cap-binding contract changes."
FW-C027,flood_inundation_contact,"NEMA's April 2026 publication register identifies the same-titled successor guide NEMA CS 70006-2026, so GD 1-2016 is historical and the current guide must be acquired and technically reviewed before canonical promotion.",source_status_observation,"FW-S002;FW-S013","FW-S013 Recently Published Documents, p. 5; FW-S002 sections 4.3 and 4.4",T2_public_lab_standard_or_physics,current_electrical_disposition_guide_gate,promotion_caveat,"Retain the 2016 guide only as historical mechanism context while opening current-guide review.","Assume unseen successor content, treat the 2016 edition as current authority, or change FEMA Table 7.9 knots from publication metadata.","The official register proves current publication identity but not the successor's detailed technical content; the numeric curve comes from FW-S011 and is unaffected.","NEMA CS 70006-2026 is acquired, registered, compared against FW-S002, and reviewed."
