parameter,pathway_id,curve_id,value,param_role,tier,source_ids,reasoning,status,update_trigger
curve_denominator,flood_inundation_contact,FW_HAZUS_2_1_SUBSTATION_SCREENING_PWL,full_direct_replacement_value_of_same_facility_level_GSU_substation_assembly,value_linkage,T3_engineering_proxy_or_adjacent_empirical,"FW-S008;FW-S009;FW-S011","The source percent damage applies to the same complete substation atom and cannot use a mixed electrical or project-TIV denominator.",adopt_proposed,"A validated value decomposition replaces the source atom."
assembly_component_mutual_exclusion,flood_inundation_contact,FW_HAZUS_2_1_SUBSTATION_SCREENING_PWL,"FW_GSU_SWITCHGEAR|FW_GSU_TRANSFORMER_MAIN|FW_GSU_TRANSFORMER_AUX_CONTROLS|FW_GSU_PROTECTION_SCADA|FW_GSU_STATION_SERVICE_DC|FW_GSU_CABLE_TERMINATIONS",value_guardrail,T4_placeholder_or_expert_judgment,"FW-S011;GOVERNANCE_CONTRACT;SHARED_SUBSTRATE","The source assembly and its component subunits are alternative response/value representations.",adopt_proposed,"A dependency-safe component model formally supersedes the assembly."
reference_evaluator_scenario_loss_status,flood_inundation_contact,FW_HAZUS_2_1_SUBSTATION_SCREENING_PWL,supported_with_explicit_same_substation_value_and_exposure,capability,T4_placeholder_or_expert_judgment,GOVERNANCE_CONTRACT,"The evaluator emits DR; the common consumer may bind only explicit same-substation value and exposure.",released_screening,"Value or cap-binding contract changes."
curve_intrinsic_spread,flood_inundation_contact,FW_HAZUS_2_1_SUBSTATION_SCREENING_PWL,not_carried,uncertainty,T3_engineering_proxy_or_adjacent_empirical,FW-S011,"The source reports no response distribution or calibration sample.",adopt_proposed,"Qualified uncertainty evidence is reviewed."
FS_SWG_candidate_points_m_dr,flood_inundation_contact,FS_SWG_CANDIDATE_ONLY,"[[0,0],[0.02,0.10],[0.05,0.40],[0.15,0.85],[0.30,1],[0.60,1],[1,1],[1.5,1],[2,1]]",curve_fit_shape,T3_engineering_proxy_or_adjacent_empirical,FW-S010,"Pinned canonical flood_solar engineering proxy; separate component compatibility and economic validation remain open.",audit_only,"Exact switchgear applicability and validation pass."
FS_XFMR_candidate_status,flood_inundation_contact,FS_XFMR_CANDIDATE_ONLY,REJECT_DIRECT_REUSE,curve_fit_shape,T3_engineering_proxy_or_adjacent_empirical,FW-S010,"Main value and control/terminal datum are not dependency-safe.",reject,"Transformer main/auxiliary state model passes."
FS_SCADA_candidate_status,flood_inundation_contact,FS_SCADA_CANDIDATE_ONLY,PARTIAL_SEMANTIC_MATCH,curve_fit_shape,T3_engineering_proxy_or_adjacent_empirical,FW-S010,"Plant monitoring does not equal substation protection/control.",audit_only,"Equipment crosswalk and cost evidence pass."
FS_CABLE_candidate_status,flood_inundation_contact,FS_CABLE_CANDIDATE_ONLY,MECHANISM_ONLY,curve_fit_shape,T3_engineering_proxy_or_adjacent_empirical,"FW-S007;FW-S010","Wind MV cable/terminations and solar AC/DC rollup differ.",audit_only,"Construction-specific disposition/value evidence passes."
reference_external_electrical_value_usd_per_kw,all_shared,none,72,value_rollup,T2_public_lab_standard_or_physics,FW-S008,"CWER 2024 mixed collection/substation row; prohibited as the assembly denominator.",adopt_with_limits,"New value vintage or site split."
reference_foundation_value_usd_per_kw,all_shared,none,120,value_rollup,T2_public_lab_standard_or_physics,FW-S008,"CWER 2024 foundation row; no flood DR inferred.",adopt_with_limits,"New value vintage or site appraisal."
reference_civil_value_usd_per_kw,all_shared,none,47,value_rollup,T2_public_lab_standard_or_physics,FW-S008,"CWER 2024 mixed civil row; split required.",adopt_with_limits,"New value vintage or site split."
reference_support_value_usd_per_kw,all_shared,none,294,support_rollup,T2_public_lab_standard_or_physics,FW-S008,"Fieldwork 100 plus transport 194; allocate once after qualified disposition.",adopt_with_limits,"Claims-backed allocation or value vintage."
unknown_ownership_baseline_inclusion,all_shared,none,WITHHOLD,governance_rule,T4_placeholder_or_expert_judgment,"FW-S009;GOVERNANCE_CONTRACT","Functional association is not ownership/value proof.",adopt,"Executed agreement and value schedule resolve boundary."
missing_substation_depth_behavior,flood_inundation_contact,FW_HAZUS_2_1_SUBSTATION_SCREENING_PWL,REJECT_NOT_DRY,governance_rule,T4_placeholder_or_expert_judgment,GOVERNANCE_CONTRACT,"Missing or incomplete axis payload cannot become zero depth.",adopt_proposed,"A validated uncertainty/default policy is approved."
