comparison_id,wind_speed_kmh,wind_speed_mph_unit_conversion_only,turbine_archetype_id,v1_runtime_domain_status,v1_runtime_source_unit_dr,v1_formula_audit_dr,v0_1_runtime_source_unit_dr,hazard_placeholder_full_tiv_dr,legacy_memo_rotor_curve_dr,v1_failure_unit,v1_denominator,hazard_placeholder_endpoint_denominator,legacy_memo_axis_endpoint,axis_and_endpoint_comparability,comparison_disposition
TCWW-CMP-011,108,67.108088762,TCWW_JAIMES_GENERIC_2P5MW_HH80_V1,supported_source_range,0.000689340900421,0.000689340900421,,0.000059044662073,0.022564717366808,WT_JAIMES_TURBINE_TOWER_EXPOSURE_UNIT,"paper-native expected repair/replacement ratio on ambiguous turbine-tower/total-turbine proxy","mixed full-TIV fixed-share rotor+nacelle+substation+electrical DR; tower+foundation+civil forced zero","one-minute 10 m mph ordinary-logistic rotor DR","Hazard intensity is unit-convertible but endpoint/denominator/coverage differ; legacy axis and endpoint differ","compare directionally only; do not calibrate v1 to old values"
TCWW-CMP-012,172.52,107.198958085,TCWW_JAIMES_GENERIC_2P5MW_HH80_V1,supported_source_range,0.500000000000000,0.500000000000000,,0.010782749447981,0.300880134115842,WT_JAIMES_TURBINE_TOWER_EXPOSURE_UNIT,"paper-native expected repair/replacement ratio on ambiguous turbine-tower/total-turbine proxy","mixed full-TIV fixed-share rotor+nacelle+substation+electrical DR; tower+foundation+civil forced zero","one-minute 10 m mph ordinary-logistic rotor DR","Exact v1 midpoint; neither old value shares the v1 endpoint/denominator","midpoint KAT for v1; old values audit-only"
TCWW-CMP-013,180,111.846814603,TCWW_JAIMES_GENERIC_2P5MW_HH80_V1,supported_source_range,0.642205900008322,0.642205900008322,,0.019456260060225,0.372556430596958,WT_JAIMES_TURBINE_TOWER_EXPOSURE_UNIT,"paper-native expected repair/replacement ratio on ambiguous turbine-tower/total-turbine proxy","mixed full-TIV fixed-share rotor+nacelle+substation+electrical DR; tower+foundation+civil forced zero","one-minute 10 m mph ordinary-logistic rotor DR","Hazard intensity is unit-convertible but endpoint/denominator/coverage differ; legacy axis and endpoint differ","large delta is expected from different model/endpoint; not a regression failure"
TCWW-CMP-014,220,136.701662292,TCWW_JAIMES_GENERIC_2P5MW_HH80_V1,supported_source_range,0.995733421640076,0.995733421640076,,0.261216320978339,0.724675011768098,WT_JAIMES_TURBINE_TOWER_EXPOSURE_UNIT,"paper-native expected repair/replacement ratio on ambiguous turbine-tower/total-turbine proxy","mixed full-TIV fixed-share rotor+nacelle+substation+electrical DR; tower+foundation+civil forced zero","one-minute 10 m mph ordinary-logistic rotor DR","Hazard intensity is unit-convertible but endpoint/denominator/coverage differ; legacy axis and endpoint differ","large delta is expected from different model/endpoint; not a regression failure"
TCWW-CMP-015,252,156.585540444,TCWW_JAIMES_GENERIC_2P5MW_HH80_V1,supported_source_range,0.999999633725535,0.999999633725535,,0.563208912474459,0.839036165112190,WT_JAIMES_TURBINE_TOWER_EXPOSURE_UNIT,"paper-native expected repair/replacement ratio on ambiguous turbine-tower/total-turbine proxy","mixed full-TIV fixed-share rotor+nacelle+substation+electrical DR; tower+foundation+civil forced zero","one-minute 10 m mph ordinary-logistic rotor DR","Upper supported v1 boundary; old caps/denominators are not comparable","boundary KAT; do not extend runtime from old curves"
TCWW-CMP-016,253,157.206911636,TCWW_JAIMES_GENERIC_2P5MW_HH80_V1,withheld_ABOVE_SOURCE_SIMULATION_RANGE,,0.999999759312657,,0.568613424466259,0.840804387591376,WT_JAIMES_TURBINE_TOWER_EXPOSURE_UNIT,"paper-native expected repair/replacement ratio on ambiguous turbine-tower/total-turbine proxy","mixed full-TIV fixed-share rotor+nacelle+substation+electrical DR; tower+foundation+civil forced zero","one-minute 10 m mph ordinary-logistic rotor DR","Jaimes mathematical tail is audit-only above 252; old endpoints remain incomparable","withhold v1 runtime; do not clamp or use old fallback"
TCWW-CMP-017,90,55.923407301,TCWW_JAIMES_GENERIC_3P3MW_HH100_V1,supported_SOURCE_ASSUMED_NO_DAMAGE_THRESHOLD_NOT_EMPIRICAL,0.000000000000000,0.000000000000000,,0.000013808479213,0.009962596264405,WT_JAIMES_TURBINE_TOWER_EXPOSURE_UNIT,"paper-native expected repair/replacement ratio on ambiguous turbine-tower/total-turbine proxy","mixed full-TIV fixed-share rotor+nacelle+substation+electrical DR; tower+foundation+civil forced zero","one-minute 10 m mph ordinary-logistic rotor DR","Hazard intensity is unit-convertible but endpoint/denominator/coverage differ; legacy axis and endpoint differ","v0.1 null is baseline; both old numerics are audit-only and not regression targets"
TCWW-CMP-018,100,62.137119224,TCWW_JAIMES_GENERIC_3P3MW_HH100_V1,withheld_BELOW_SOURCE_SIMULATION_RANGE,,0.000033415608294,,0.000030945222439,0.015713280326587,WT_JAIMES_TURBINE_TOWER_EXPOSURE_UNIT,"paper-native expected repair/replacement ratio on ambiguous turbine-tower/total-turbine proxy","mixed full-TIV fixed-share rotor+nacelle+substation+electrical DR; tower+foundation+civil forced zero","one-minute 10 m mph ordinary-logistic rotor DR","Jaimes formula value is audit-only in 90-108 gap; old endpoints remain incomparable","withhold v1 runtime; do not use either old numeric as fallback"
TCWW-CMP-019,108,67.108088762,TCWW_JAIMES_GENERIC_3P3MW_HH100_V1,supported_source_range,0.000627523692330,0.000627523692330,,0.000059044662073,0.022564717366808,WT_JAIMES_TURBINE_TOWER_EXPOSURE_UNIT,"paper-native expected repair/replacement ratio on ambiguous turbine-tower/total-turbine proxy","mixed full-TIV fixed-share rotor+nacelle+substation+electrical DR; tower+foundation+civil forced zero","one-minute 10 m mph ordinary-logistic rotor DR","Hazard intensity is unit-convertible but endpoint/denominator/coverage differ; legacy axis and endpoint differ","compare directionally only; do not calibrate v1 to old values"
TCWW-CMP-020,163.30,101.469915692,TCWW_JAIMES_GENERIC_3P3MW_HH100_V1,supported_source_range,0.500000000000000,0.500000000000000,,0.005156307063616,0.222912433500562,WT_JAIMES_TURBINE_TOWER_EXPOSURE_UNIT,"paper-native expected repair/replacement ratio on ambiguous turbine-tower/total-turbine proxy","mixed full-TIV fixed-share rotor+nacelle+substation+electrical DR; tower+foundation+civil forced zero","one-minute 10 m mph ordinary-logistic rotor DR","Exact v1 midpoint; neither old value shares the v1 endpoint/denominator","midpoint KAT for v1; old values audit-only"
TCWW-CMP-021,180,111.846814603,TCWW_JAIMES_GENERIC_3P3MW_HH100_V1,supported_source_range,0.854896589996166,0.854896589996166,,0.019456260060225,0.372556430596958,WT_JAIMES_TURBINE_TOWER_EXPOSURE_UNIT,"paper-native expected repair/replacement ratio on ambiguous turbine-tower/total-turbine proxy","mixed full-TIV fixed-share rotor+nacelle+substation+electrical DR; tower+foundation+civil forced zero","one-minute 10 m mph ordinary-logistic rotor DR","Hazard intensity is unit-convertible but endpoint/denominator/coverage differ; legacy axis and endpoint differ","large delta is expected from different model/endpoint; not a regression failure"
TCWW-CMP-022,220,136.701662292,TCWW_JAIMES_GENERIC_3P3MW_HH100_V1,supported_source_range,0.999994401418475,0.999994401418475,,0.261216320978339,0.724675011768098,WT_JAIMES_TURBINE_TOWER_EXPOSURE_UNIT,"paper-native expected repair/replacement ratio on ambiguous turbine-tower/total-turbine proxy","mixed full-TIV fixed-share rotor+nacelle+substation+electrical DR; tower+foundation+civil forced zero","one-minute 10 m mph ordinary-logistic rotor DR","Hazard intensity is unit-convertible but endpoint/denominator/coverage differ; legacy axis and endpoint differ","large delta is expected from different model/endpoint; not a regression failure"
TCWW-CMP-023,252,156.585540444,TCWW_JAIMES_GENERIC_3P3MW_HH100_V1,supported_source_range,1.000000000000000,1.000000000000000,,0.563208912474459,0.839036165112190,WT_JAIMES_TURBINE_TOWER_EXPOSURE_UNIT,"paper-native expected repair/replacement ratio on ambiguous turbine-tower/total-turbine proxy","mixed full-TIV fixed-share rotor+nacelle+substation+electrical DR; tower+foundation+civil forced zero","one-minute 10 m mph ordinary-logistic rotor DR","Upper supported v1 boundary; displayed one is rounding; old caps/denominators are not comparable","boundary KAT uses full evaluator precision; do not extend runtime from old curves"
TCWW-CMP-024,253,157.206911636,TCWW_JAIMES_GENERIC_3P3MW_HH100_V1,withheld_ABOVE_SOURCE_SIMULATION_RANGE,,1.000000000000000,,0.568613424466259,0.840804387591376,WT_JAIMES_TURBINE_TOWER_EXPOSURE_UNIT,"paper-native expected repair/replacement ratio on ambiguous turbine-tower/total-turbine proxy","mixed full-TIV fixed-share rotor+nacelle+substation+electrical DR; tower+foundation+civil forced zero","one-minute 10 m mph ordinary-logistic rotor DR","Jaimes mathematical tail is audit-only above 252; displayed one is rounding; old endpoints remain incomparable","withhold v1 runtime; do not clamp or use old fallback"
